sehir,isim,adres
 İZMIR, GİRNE OTOPARKI," GONCALAR MAH. ATATÜRK BULVARI NO:51     
  KARŞIYAKA
 MUĞLA, GIZIL OTOPARK," TEPE MAH. 36. SOK. NO:36 D:A     
  MARMARİS
 İSTANBUL, GEZMİŞOĞLU OTOPARK," ORTAMAHALLE MAH. UYGUR CAD. NO:51-55 DAİRE:A     
  BAYRAMPAŞA
 ANTALYA, GENİŞ OTOPARK," BALBEY MAH. 421. SOKAK NO:12 D:A     
 İSTANBUL, GENEL," SEYRANTEPE MAH. İBRAHİM KARAOĞLANOĞLU CAD. NO:20     
 ADANA, GENÇLER OTOPARK," KURUKÖPRÜ MAH. 33036. SOKAK NO:19 FATİH PLAZA   
  SEYHAN
 BURDUR, GENÇ OTOPARK," KARASENİR Mah. MUSTAFA ŞEREF BULVARI NO:7    
 İZMIR, GAZİOSMANPAŞA BULVARI," AKDENİZ MAH. GAZİOSMANPAŞA BULVARI NO:65     
  KONAK
 ESKIŞEHIR, GAZİ YAKUP SATAR CAD.," MUSTAFA KEMAL PAŞA MAH. TÜZÜN SOKAĞI NO:3     
 İSTANBUL, GAZİ OTOPARK YIKAMA," ÇOBANÇEŞME MAH. MİTHATPAŞA CAD. NO:43     
 MERSIN, GAZİ OTOPARK," MESUDİYE MAH. 5117. SOKAK NO:35     
 İZMIR, GAZİ OSMAN PAŞA BULVARI," YENİGÜN MAH. GAZİ OSMAN PAŞA BULVARI NO:61 NİYAZİ ERSOY ÇARŞI VE İŞMERKEZİ   
 ANKARA, GAZİ MUSTAFA KEMAL," MALTEPE MAH. GAZİ M. KEMAL BULVARI NO:85     
  ÇANKAYA
 SAMSUN, GAZİ CAD.," 19 MAYIS MAH. GAZİ CAD. NO:115     
 SAMSUN, GAZİ," ADALET MAH. İBNİ SİNA CAD.     
 İSTANBUL, GAYRETTEPE İŞ MERKEZİ OTOPARK," GAYRETTEPE MAH. YILDIZ POSTA CAD. NO:4 D:B     
 ANKARA, GARAJ OTOPARK," BAHÇELİEVLER MAH. AZERBAYCAN CAD. NO:84 D:B     
 İSTANBUL, GARAJ OTOPARK," MECİDİYEKÖY MAH. RAŞİT RIZA SOKAĞI NO:8 D:A     
 İSTANBUL, GARAJ DURMAZ," ARNAVUTKÖY MAH. OĞUL SOK.  NO:9     
 İSTANBUL, GARAJ 53," BAHÇELİEVLER MAH. HACER HANIM SOKAĞI NO:3 DAİRE:A     
 ESKIŞEHIR, GARAJ," CUMHURİYE MAH. OTOPARK SOKAĞI NO:8     
 ANKARA, GAR OTOPARK," DOĞANBEY MAH. HİPODRUM CAD. NO:1 D:B     
  ALTINDAĞ
 ŞANLURFA, GAP HAVAALANI OTOPARK," BAMYASUYU MAH. DİYARBAKIR YOLU NO:21    
 TRABZON, GANITA OTOPARK," GAZİPAŞA MAH. KALITIM SOKAK NO:27 DAİRE:B    
 İSTANBUL, GAM-PAK OTOPARK," ABBASAĞA MAH. JANDARMA MEKTEBİ SOKAK NO:34 DAİRE:C     
 İSTANBUL, GALERİA OTOPARK," ZEYTİNLİK MAH. RAUF ORBAY CAD. NO:1 GALERİA AVM   
  BAKIRKÖY
 İSTANBUL, GALERİ HALİLOĞULLARI," YENİKENT MAH. 669. SOK.  NO:4     
  ESENYURT
 İSTANBUL, GALATASARAY OTOPARK," TOMTOM MAH. YENİ ÇARŞI CADDE NO:26     
  BEYOĞLU
 İSTANBUL, GALATASARAY GARAJI," TOMTOM MAH. YENİ ÇARŞI CAD. NO:26     
 İSTANBUL, G.SUYU DÜMEN SK.,"
 İSTANBUL, G-43 METROCİTY YANI,"
 İSTANBUL, FURKAN OTOPARK," ÇOBANÇEŞME MAH. KÖPRÜLÜ SOKAK NO:18 DAİRE:1     
 MALATYA, FURKAN OTOPARK," HALFETTİN MAH. HALFETTİN SOKAK NO:25    
 İSTANBUL, FUATPAŞA CAD. ,"
 İSTANBUL, FUAT PAŞA OTOPARK," ÇAYIRBAŞI MAH. ÇAYIRBAŞI CAD. NO:235     
  SARIYER
 İSTANBUL, FLORYA KAVŞAĞI AÇIK OTOPARKI,"
 İSTANBUL, FLAŞ," BALMUMCU MAH. MORBASAN SOKAK NO:9     
 MALATYA, FİNİK KÖPRÜ SOKAK OTOPARKI," SARAY Mah. FİNİK KÖPRÜ SOKAK NO:3    
 ZONGULDAK, FİLYOS TAKSİ DURAĞI," FİLYOS MAH. ATATÜRK CAD. NO:5    
 ZONGULDAK, FİLYOS OTOPARK," FİLYOS MAH. NAMIK KEMAL SOKAK NO:39    
 İSTANBUL, FİDAN SOKAK," HÜRRİYET MAH. FİDAN SOKAK NO:18     
 İSTANBUL, FIRIN OTOPARKI," CUMHURİYET MAH. FIRIN SOKAK NO:18 D:A     
 İSTANBUL, FIRAT2 OTOPARK," MERKEZ MAH. 2 SOKAK NO:10 DAİRE:D     
  BAĞCILAR
 İSTANBUL, FIRAT OTOPARK," CUMHURİYET MAH. DR. SADIK AHMET CAD. NO:42 D:A     
  KÜÇÜKÇEKMECE
 AFYON, FIRAT OTO PARK," HÜRRİYET MAH. ATATÜRK SOKAK NO:18    
 İZMIR, FIAT OTOPARK," ÇAMDİBİ MAH. FATİH CAD. NO:30     
  BORNOVA
 İSTANBUL, FEVZİ PAŞA CAD. ,"
 İSTANBUL, FETİHBEY CAD. ,"
 İSTANBUL, FESHANE,"
 İSTANBUL, FERİT SELİMPAŞA CAD.," SOĞANLI MAH. FERİT SELİMPAŞA CAD.     
 KOCAELI, FERİBOT YOLU CD," EMEK MAH. 100.YIL SOKAK NO:1     
  DARICA
 ANTALYA, FERHAT OTOPARK," BALBEY MAH. 421. SOKAK NO:3 D:A     
 İSTANBUL, FERAH," MERKEZ MAH. FERAH SOK.  NO:9     
 İSTANBUL, FENERBAHÇE OTOPARK," ZÜHTÜPAŞA MAH. ŞEFİKBEY SOK. NO:21     
 ANTALYA, FENER OTOPARK," BALBEY MAH. 451. SOKAK NO:4 D:A     
 MALATYA, FAYSAL OTOPARK," KERNEK Mah. BEŞKONAKLAR CAD.  NO:50    
 ESKIŞEHIR, FATİH SULTAN MEHMET OTOPARK," KIRMIZITOPRAK MAH. M. K. ATATÜRK CAD. NO:85    
 TRABZON, FATİH OTOPARKI," FATİH MAH. ZÜBEYDE HANIM CAD. NO:29 DAİRE:B    
 ANTALYA, FATİH OTOPARK," BALBEY MAH. 424. SOKAK NO:12 D:A     
 İSTANBUL, FATİH KATLI OTOPARKI,"
  fatih
 İSTANBUL, FATİH BELEDİYESİ OTOPARKI," HOBYAR MAH. REŞADİYE CAD. NO:5 D:A     
 İSTANBUL, FATİH BELEDİYE BAŞKANLIĞI KUMLUK OTOPARKI," ŞEHSUVARBEY MAH. KÜRKÇÜBAŞI MEKTEBİ SOK.  NO:1     
 SAKARYA, FATİH," CUMHURİYET MAH. KAYI SOKAK NO:50     
  ADAPAZARI
 İSTANBUL, FATİH," KÜÇÜK MUSTAFAPAŞA MAH. HALİÇ CAD. NO:79 D:A     
 İSTANBUL, EYÜPSULTAN A.Ş. OTOPARK," İSLAMBEY MAH. RUZNAMECİ SOK.      
 İSTANBUL, EYÜP PİYERLOTİ CAD. ,"
 İSTANBUL, EYÜP BELEDİYESİ OTOPARKI," İSLAMBEY MAH. İSLAMBEY CAD. NO:13     
 İSTANBUL, EXPRESS TOUR OTOPARK," KARTALTEPE MAH. HALKALI SOK. NO:62 D:B     
 İSTANBUL, EVHAN OTOPARK," REŞİTPAŞA MAH. BAYRAM SOKAK NO:6     
 İSTANBUL, ETYEMEZ TEKKESİ SOKAK,"
 İSTANBUL, ETPA OTOPARK," KISIKLI MAH. NURBABA SOKAK     
  ÜSKÜDAR
 MALATYA, ETAP OTOPARK," SARAY Mah. SARAY SOKAK NO:21    
 ANTALYA, EŞREF KAHVECİ OĞLU CAD. OTO PARKI," HACET MAH. EŞREF KAHVECİOĞLU CAD.     
 HATAY, ESNAF OTOPARK," ULUCAMİİ MAH. KURTULUŞ CAD. NO:89    
 İSTANBUL, ESKİ OSMANLI OTOPARK," MECİDİYEKÖY MAH. ESKİ OSMANLI SOKAK NO:15 D:1     
 İSTANBUL, ESKİ OSMANLI OTOPARK," MECİDİYEKÖY MAH. ESKİ OSMANLI SOKAK NO:27 D:1     
 İSTANBUL, ESKİ LONDRA ASFALTI CAD.," UĞUR MUMCU MAH. ESKİ LONDRA ASFALTI CAD. NO:634 D:A     
 TEKIRDAĞ, ESKİ İSTANBUL OTOPARKI," TURGUT Mah. ESKİ İSTANBUL CAD.  NO:5    
 İSTANBUL, ESKİ BÜYÜKDERE CAD.," SANAYİ MAH. ESKİ BÜYÜKDERE CAD.     
 İSTANBUL, ESKİ BÜYÜKDERE CAD.," SANAYİ MAH. ESKİ BÜYÜKDERE CAD. NO:51     
 İSTANBUL, ESER OTOPARKI,"
 ANKARA, ESER OTOPARK," DOĞANBEY MAH. EGE SOKAK NO:14 D:G     
 ANKARA, ESER," DOĞANBEY MAH. EGE SOKAK NO:14     
 İSTANBUL, ESENLER NENE HATUN OTOPARKI," NİNE HATUN MAH. 108. SOK.      
  ESENLER
 İSTANBUL, ESENLER KATLI OTOPARKI,"
    KADIKÖY 
 İSTANBUL, ESENLER CAD.," VATAN MAH. ESENLER CAD.     
 KARABÜK, ESEN OTOPARK," BAYIR MAH. SELANİK CAD. NO:13    
 İSTANBUL, ESBAŞ A.Ş. OTOPARK," EYÜP MERKEZ MAH. SİLAHTARAĞA CAD.     
 ANKARA, ESAT," TINAZTEPE MAH. BÜLBÜLDERESİ CAD.     
 ANKARA, ERZURUM SOKAK," GÜNDOĞDU MAH. ERZURUM SOKAK NO:4 D:A     
 BALıKESIR, ERTUGRUL OTOPARK," CAMİVASAT Mah. GAZİ CAD.    NO:8     
  EDREMİT
 İSTANBUL, ERTAN," MERKEZ MAH. ZIRAAT SOKAK NO:22     
  AVCILAR
 İSTANBUL, ERSOYLAR," AYAZAĞA MAH. DEREBOYU CAD.     
 ESKIŞEHIR, ERSAN," İSTİKLAL MAH. DEMİRCİLER SOKAK NO:46     
 DENIZLI, ERSAN OTOPARK," SIRAKAPILAR Mah. 1523. SOKAK NO:2    
 İSTANBUL, EROL OTOPARK," GÜLBAHAR MAH. CEMAL SURURİ SOKAK NO:5 D:A     
 ZONGULDAK, EROĞLU ÇOK KATLI OTOPARKI," TERAKKİ MAH. 3 CADDE NO:3    
 İSTANBUL, ERLÜKS PLAZA," ZAFER MAH. DUMLUPINAR CAD.     
 ANTALYA, ERKAN OTOPARK," BALBEY MAH. 436. SOKAK NO:5 D:A     
 İZMIR, ERİS TOLWER OTOPARK," AKDENİZ MAH. 1346 SOK. NO:2     
 MERSIN, ERİM OTOPARK," CAMİ ŞERİF MAH. 5248. SOKAK NO:5     
 İSTANBUL, EREN OTOPARK," ŞİRİNEVLER MAH. MAREŞAL FEVZİ ÇAKMAK 1. SOKAĞI NO:10     
 İSTANBUL, EREN OTOPARK," OSMANAĞA MAH. SÜLEYMANPAŞA SOK. NO:30     
 MERSIN, EREN OTOPARK," BAHÇE MAH. 4605. SOKAK NO:4     
 MERSIN, EREN OTOPARK," BAHÇE MAH. 4613. SOKAK NO:2     
 ANKARA, EREN KOÇYİĞİT OTOPARK İŞLETMELERİ," hatay sokak no: 4 kızılay 
  06410 
 ZONGULDAK, ERDEM OTOPARK YIKAMA," TERAKKİ MAH. MİMAR KEMAL SOKAK NO:4    
 İSTANBUL, ERDEM OTOPARK," MECİDİYEKÖY MAH. BAŞARAN SOKAK NO:2     
 İSTANBUL, ERDEM OTOPARK," KATİP ÇELEBİ MAH. HOCAZADE SOKAK NO:23     
 ADıYAMAN, ERDEM OTOPARK," YENİPINAR MAH. ERDEM CAD. NO:14 D:A    
 İSTANBUL, ERDEM OTOPARK," Başaran Sk. No:2 
   
  MECİDİYEKÖY
 İSTANBUL, ERDEM OTO PARK," TOM TOM MAH NRUZİYA SOKAK NO. 6 
  34433 
 İSTANBUL, ERDEM," RUMELİ HİSARI MAH. NİSPETİYE CAD.     
 İSTANBUL, ERCİYES OTOPARK," YENİGÜN MAH. 4 SOKAK     
 MERSIN, ERBAŞ OTO PARK," KÜLTÜR MAH. 4304. SOKAK NO:4 D:A     
 ANKARA, ERASLAN," ANAFARTALAR MAH. TELGRAF CAD. NO:19     
 İSTANBUL, ER & FU OTOPARK," ŞİRİNEVLER MAH. GEDİZ SOKAK NO:17     
 İSTANBUL, ENSAR OTOPARK," HOCA ÜVEYZ MAH. ADNAN KAHVECİ SOKAĞI NO:2 D:A     
 ANTALYA, ENİŞTE OTOPARK," KARŞIYAKA MAH. YAVULULAR SOK.  NO:20 D:A     
  FİNİKE
 İSTANBUL, ENGİN OTOPARK," ŞİRİNEVLER MAH. NİL SOKAK NO:23     
 ANTALYA, ENES OTOPARK," MURATPAŞA MAH. ÇATAL KÖPRÜ CAD.     
 İSTANBUL, EN-KA OTOPARK," CAMİİKEBİR MAH. ÇAYDANLIK SOKAK NO:5     
 İSTANBUL, EMRE OTOPARK," FATİH MAH. CAMİ CAD. NO:1 DAİRE:A     
 İSTANBUL, EMRE," GAYRETTEPE MAH. HOŞSOHBET SOK.  NO:2 D:A     
 İSTANBUL, EMRAH OTOPARK," SİNANAĞA MAH. ÇIRÇIR CAD. NO:6 D:A     
 İSTANBUL, EMNİYET YEDİ EMİN OTOPARK1," KAZIM KARABEKİR MAH. 2. SOKAK NO:18     
 İSTANBUL, EMNİYET OTOPARKI," YILDIZ MAH. ÇIRAĞAN SOKAĞI NO:79 D:1     
 İSTANBUL, EMNİYET OTOPARK," HÜRRİYET MAH. MENDERES CAD. NO:83     
 HATAY, EMNİYET OTOPARK," KOCAABDİ MAH. KURTULUŞ CAD. NO:114    
 HATAY, EMNIYET OTO PARK VE YıKAMA," kocaabdi mah.no114
  31100 
 MERSIN, EMNİYET OTO PARK," ŞEVKETSÜMER MAH. 154. CADDE NO:100 D:A     
 İSTANBUL, EMNİYET," TURGUT REİS MAH. ŞEHİT ALİ KARAHAN CAD.     
 İSTANBUL, EMLAK PALAS OTOPARK," HARBİYE MAH. ABDİ İPEKÇİ CAD. NO:37 D:A     
 İSTANBUL, EMKOWAY OTOPARK," GÖZTEPE MAH. DEMİRCİ FAİK SOK. NO:4     
 İSTANBUL, EMİRGAN KORUSU,"
 İSTANBUL, EMİNÖNÜ AÇIK,"
 İSTANBUL, EMİN SİNAN HAMAMI SOKAK,"
 GAZIANTEP, EMİN OTOPARK," KARAGÖZ MAH. ÇAMURCU SOKAK NO:6    
  ŞAHİNBEY
 İSTANBUL, EMİN OTOPARK," SEYYİD ÖMER MAH. SEYFULLAH EFENDİ SOK.      
 İSTANBUL, EMİN ONGAN CAD.," AHMEDİYE MAH. EMİN ONGAN CAD. NO:6 D:A     
 ADANA, EMİN KAPALI OTOPARK," ÇINARLI MAH. 61007. SOKAK NO:29     
 GÜMÜŞHANE, EMEK OTOPARKI," ÖZCAN MAH. EMEK SOKAK NO:16    
 ANKARA, EMEK GARAJI," ANAFARTALAR MAH. SANAYİ CAD. ANAFARTALAR ÇARŞISI   
 ANKARA, EMEK," ANAFARTALAR MAH. SANAYİİ CAD. İTFAİYE MEYDANI   
 İSTANBUL, ELMADAĞ OTOPARKI," İNÖNÜ MAH. ELMADAĞ CAD. NO:40 D:A     
 İSTANBUL, ELİTE OTO YIKAMA PARK," İNÖNÜ MAH. ESKİ ANKARA CAD. NO:99     
  SANCAKTEPE
 İSTANBUL, EL EMEK," ŞEHREMİNİ MAH. MEVLANAKAPI CAD. NO:48     
 İSTANBUL, EKSPRES OTOPARKI," İNÖNÜ MAH. KUZU KULAĞI SOKAĞI NO:2 D:A     
 İSTANBUL, EKİNOKS BEYLİKDÜZÜ AVM KAPALI OTOPARK," BÜYÜKŞEHİR MAH. BEYLİKDÜZÜ CAD. EKİNOKS   
 DENIZLI, EKİNCİ OTEL OTOPARKI," İLBADE MAH. ÖRNEK CAD. NO:4    
 MUĞLA, EĞİTİM SOK.," SARIGERME MAH. EĞİTİM SOK.     
  ORTACA
 ANKARA, EGEMEN OTOPARKI," KÜLTÜR MAH. ÇALDIRAN SOKAK     
 İZMIR, EGEMEN OTOPARK," OĞUZLAR MAH. 1275 SOKAK NO:23     
 ESKIŞEHIR, EGEMEN," İSTİKLAL MAH. ALEV SOKAĞI NO:1     
 İZMIR, EGE ÜNİVERSİTESİ OTOPARKI," KAZIMDİRİK MAH. 172. SOKAK NO:1 D:N EGE ÜNİVERSİTESİ   
 İZMIR, EGE ÜNİVERSİTESİ OTOPARKI," KAZIMDİRİK MAH. 172. SOKAK NO:1 D:C EGE ÜNİVERSİTESİ   
 İZMIR, EGE ÜNİVERSİTESİ OTOPARKI," KAZIMDİRİK MAH. 172. SOKAK NO:1 D:Ö EGE ÜNİVERSİTESİ   
 MUĞLA, EGE OTOPARK," TEPE MAH. 61. SOK. NO:1     
 İSTANBUL, EFTAL OTOPARK," 19.MAYIS MAH. OPERATÖR RAİF BEY SOKAK NO:3     
 ADıYAMAN, EFEOĞULLARI OTOPARK," HOCAÖMER MAH. 203. SOKAK NO:2    
 İZMIR, EFEKAN OTOPARK," ALSANCAK MAH. 1372 SOK.     
 İSTANBUL, EFE SOK OTO PANK," CUMHURİYET MAH. EFE SOKAK NO:3 D:D     
 MERSIN, EFE OTOPARK," İHSANİYE MAH. 4901. SOKAK NO:12 D:B     
 İSTANBUL, EDIT OTOPARK," KURTKÖY MAH. ANKARA CAD. NO:396     
  PENDİK
 MERSIN, ECEM OTOPARK," KİREMİTHANE MAH. CENGİZ TOPEL CAD. NO:53 D:A     
 İSTANBUL, E5 KARAYOLU," ADNAN KAHVECİ MAH. E5 KARAYOLU OUTLET PARK   
 İSTANBUL, E-5 YAN YOL CAD.," BÜYÜKŞEHİR MAH. E-5 YAN YOL CAD. MARKA CITY   
 İSTANBUL, E-5 YAN YOL CAD.," BÜYÜKŞEHİR MAH. E-5 YAN YOL CAD. BEYLICIUM   
 İSTANBUL, DÜNYA GÖZ HASTANESİ ÖNÜ,"
 İSTANBUL, DÜNYA CAN AÇIK OTOPARK," MERKEZ MAH. FERİKÖY FIRIN SOKAK NO:39     
 ZONGULDAK, DURUN KAYLI OTOPARK," İSTASYON MAH. KENAN AYDIN CAD. NO:56    
  ÇAYCUMA
 İSTANBUL, DURU GARAJI," BOZKURT MAH. TÜRKBEYİ SOKAK NO:64 D:B     
 MERSIN, DURMUŞ OTO PARK," KIZILMURAT MAH. CELAL KARGILI SOKAK     
  TARSUS
 DÜZCE, DURMAZLAR AÇIK OTOPARK," KÜLTÜR MAH. MANSUR BAYRAM CAD. NO:4 DAİRE:A    
 MALATYA, DURMAGEL OTOPARK," BENTBAŞI MAH. SANAYİ CAD. NO:130 D:B    
 MERSIN, DURAKOĞLU OTOPARK," VİRANŞEHİR MAH. MİLLİ EGEMENLİK CAD. NO:2     
  MEZİTLİ
 ESKIŞEHIR, DUMRUL SOKAK," HACI ALİ BEY MAH. DUMRUL SOKAK NO:49     
 ESKIŞEHIR, DUMLUPINAR," HOŞNUDİYE MAH. DUMLUPINAR İLK SOKAK NO:8     
 İSTANBUL, DUDULLU OTOPARK," YUKARI DUDULLU MAH. GÜLSEREN SOKAK     
 ANTALYA, DSİ LOJMANLARI," ALTINDAĞ MAH. 149. SOKAK NO:25     
 İSTANBUL, DRAMAN OTOPARK," DERVİŞALİ MAH. DRAMAN CAD. NO:14     
 İSTANBUL, DRAGOS SOSYAL TESİSLERİ ÖNÜ,"
 İSTANBUL, DR.ORHAN ERSEK SOKAK (KUYULU BOSTAN SOK),"
 İSTANBUL, DR.MÜFİDE KÜLEY SK,"
 OSMANIYE, DR.AHMET ALKAN OTOPARKI," ALİBEYLİ MAH. DR.AHMET ALKAN CAD. NO:35 DAİRE:A    
 OSMANIYE, DR.AHMET ALKAN OTOPARKI," ALİBEYLİ MAH. DR.AHMET ALKAN CAD. NO:51    
 SAMSUN, DR. KAMİL CAD.," ÇİFTLİK MAH. DR.KAMİL CAD. NO:55     
 ANKARA, DR MELİHA ELDEM SOKAĞI OTOPARKI," KÜLTÜR MAH. DR.MEDİHA ELDEM SOKAK     
 İZMIR, DR CLEAN," MERKEZ MAH. 526 SOK.  NO:6     
 SAKARYA, DÖNÜŞ," SEMERCİLER MAH. SARAÇLAR SOKAK NO:41     
 İSTANBUL, DOSTLUK YURDU SOKAK,"
 İSTANBUL, DOSTLUK SİTESİ," ULUS MAH. LEYLAK SOK.  NO:2     
 İZMIR, DOKAY OTOPARK," KAHRAMANLAR MAH. 1424 SOKAK     
 İSTANBUL, DOĞUŞKENT AÇIK OTOPARK," GİRNE MAH. KIRLANGIÇ SOK. NO:17 D:C     
  MALTEPE
 İSTANBUL, DOĞAN SOK.," YUKARI MAH. DOĞAN SOK.     
  KARTAL
 İSTANBUL, DOĞAN OTOPARK," GÜLBAHAR MAH. ÇAMLI SOKAK NO:4 D:A     
 ANTALYA, DOĞAN OTOPARK," MURATPAŞA MAH. ÇATAL KÖPRÜ CAD.     
 İSTANBUL, DOĞAN OTOPARK," ARNAVUTKÖY MAH. ARNAVUTKÖY DERE SOK.  NO:19     
 İSTANBUL, DOĞAN," TURGUT REİS MAH. 510. SOK.  NO:1     
 İSTANBUL, DİZDARİYE YOKUŞU SOKAK,"
 SAMSUN, DİVİTÇİOĞLU CAD.," ÇİFTLİK MAH. DİVİTÇİOĞLU CAD. NO:83     
 DIYARBAKıR, DİLAN OTOPARK," YENİŞEHİR MAH. ALİ EMİRİ CAD. NO:50 DAİRE:A    
  YENİŞEHİR
 DIYARBAKıR, DİCLE OTOPARK," MEVLANA HALİT Mah. SUNAY CAD.  NO:166    
  BAĞLAR
 DIYARBAKıR, DİCLE OTOPARK," HUZUREVLERİ Mah. DR. SITKI GÖRAL CAD.  NO:94 D:A    
  KAYAPINAR
 İSTANBUL, DEVELİ," KOCAMUSTAFAPAŞA MAH. ORG. ABDURRAHMAN NAFİZ GÜRMAN SOK.  NO:170     
 ANTALYA, DETAY OTOPARK," BALBEY MAH. 421. SOKAK NO:9 D:B     
 İZMIR, DETA AUTO," MERKEZ MAH. 1586/2 SOK. NO:6     
  BAYRAKLI
 MALATYA, DERME OTOPARK," HAMİDİYE Mah. DERME SOKAK NO:2    
 MUĞLA, DERİN OTOPARK," OMURÇA MAH. CEVAT ŞAKİR CAD. NO:54     
 İSTANBUL, DEPOSİT OTOPARK," ZİYAGÖKALP MAH. ATATÜRK BULVARI DEPOSİTE AVM   
