sehir,isim,ilce,tel,adres
Giresun İli,Yusufun Yeri,Giresun,4113658,Kale Dibi Mevki Avukat Şükrü Okan Cad.
Trabzon İli,Öz Diyarbakır Burma Kadayıf-Künefe-Dondurma,Trabzon,0462 3215023-3221306,Cumhuriyet meydani
Giresun İli,Aspava Lokantası,Görele,5131209,Kumyalı Mah. No:28
Trabzon İli,Nazende Cafe&Restaurant,Trabzon,904623513352,4 Hastane Sokak
Düzce İli,Mersin Tantuni,Düzce,5122240,Burhaniye Mah. Bolu Cad. No:17
Düzce İli,Barınak Balık Lokantası,Akçakoca,6118730,Yalı Mah. Misafir Sok. No:22
Ordu İli,Gaziantepli Hacı Bekiroğlu Baklavaları,Ordu,2146060,Süleyman Felek Cad. No:98/A
Zonguldak İli,Falım Pide Salonu,Zonguldak,3230055,Müftü Mah. Sebze Pazarı Sok. No:12
Artvin İli,Bereket Lokantası,Artvin,0466 312 5063 ,Cumhuriyet Mah.
Trabzon İli,McDonald's,Trabzon,3300900,Değirmendere Mevki Devlet Sahil Yolu Cad. Forum Trabzon K:3 Trabzon Merkez
Ordu İli,Çiğköftem,Ordu,2252911,Yeni Mah. Ismet Paşa Cad. No:32 D:A1
Zonguldak İli,Çorbacı,Zonguldak,3163844,Müftü Mah. Un Pazarı No:29
Kastamonu İli,Miskos Kahve Dunyasi Cafe,Kastamonu,366 220 00 15,Cumhuriyet Caddesi Nasrullah Koprusu Karsisi
Bolu İli,Kanaat Lokantasi,Mudurnu,4213403,Bolu Cad. No:2
Rize İli,Dr. Sofram,Rize,2120990,Ekrem Orhon Mah. Kemalyeri Cad. No:9 Rize Merkez
Zonguldak İli,Öztürk Kebap Salonu,Zonguldak,2520012,Nizam Cad. Şemsi Denizer Sok. No:2
Ordu İli,Kumsal Restaurant,Ordu,904522230034,Duz mahalle no:1
Ordu İli,Özdemir Fast Food,Ordu,2120369,Düz Mah. Süleyman Selek Cad. No:102/B
Samsun İli,Vento Restaurant,Samsun,4376644,Denizevler Mah. Adnan Menderes Bulv. No:53/A
Düzce İli,Saydam Kebap,Düzce,5245959,Cumhuriyet Mah. Doğu Sok. No:1
Kastamonu İli,Kesiciler Et Ürünleri,Kastamonu, +90 (366) 4171245,Atatürk Cad. No:24
Sinop İli,Meşhur Adıyaman Çiğ Köftecisi Ömer Usta,Sinop,2606166,Yeni Mah. Atatürk Cad. No:1
Samsun İli,Otantik Kumpir,Samsun,4392215,Denizevleri Mah. Atatürk Bulv. Yeşilyurt AVM No:154 K:2
Rize İli,Yöresel Yemek Evi,Rize,2122188,Piri Çelebi Mah. Atatürk Cad.
Zonguldak İli,Mistik Pizza,Zonguldak,6151880,Seka Cad. No:9/B
Samsun İli,Samsun Balık Restaurant,Samsun,4357550,Kale Mah. Bankalar Cad. No:20 D:1
Samsun İli,Hacioğlu,Samsun,4391833,Denizevleri Mah. Atatürk Bulv. Yeşilyurt AVM No:154 K:2
Rize İli,Dürümbüs Kebap,Rize,2148444,Çarşı Mah. Cengiz Topel Cad. Barbaros Sok. Rize Merkez
Samsun İli,Kadhirga Restaurant,Samsun,+(90)3624673050,Guzelyurt Mahallesi Ataturk Bulvari No:39
Zonguldak İli,Bursa Park Iskender,Ereğli,3220676,Muftu Mah. Ofis Yolu No:18
Trabzon İli,Ustad Yemek ve Kebap Salonu,Trabzon,3215406,Çarşı Mah. Atatürk Alanı No:18/B
Zonguldak İli,Paşa Kebap,Zonguldak,2511121,Gazi Paşa Bulv. Iskele Meydanı
Samsun İli,Beyaz Ev Restaurant,Samsun,2336037,Istiklal Cad. Ümraniye Sok. No:28
Sinop İli,Sahil Restaurant,Ayancık,6131202,Yalı Mah. Gazhane Cad.
Zonguldak İli,Canlı Balık,Zonguldak,03726232457,Park Cad. No:2 Hisarönü (Filyos)
Rize İli,Dost Büfe,Çamlıhemşin,6517585,İnönü Cad. Çamlıhemşin Merkez
Bolu İli,Kardeşim Mantı,Bolu,2181768,Aktaş Mah. Gölcük Bulv. Nazli Sok. No:50 D:2
Trabzon İli,Ustad Baklava & Börek,Trabzon,3252777,Değirmendere Mah. Devlet Karayolu Rize Cad. No:1
Samsun İli,Uludag Iskender,Samsun,4325405,Ulugazi Mah. Istiklal Cad. No:54
Kastamonu İli,Salapurya,Cide,8661812,Memiş Mah. Murat Yenigün Cad. No:67/A
Samsun İli,Etçi,Samsun,"
",202. Sokak
Giresun İli,Aspava Lokantası,Görele,5134444,Sahil Bulv. No:13
Giresun İli,Park Pide Salonu,Giresun,6112083,Ardurak Mevki Sahil Yolu
Ordu İli,Plaj Et Kahvalti,Ordu,+(90)4527777525,Akyazi Mh.812 Sk.No:1
Bolu İli,Yayla Otel Restaurant,Bolu,"
",Kartalkaya Yolu
Trabzon İli,Osmanlı Sofrası,Trabzon,3262689,Kahramanmaraş Cad. No:36/A
Rize İli,Pizza Pizza,Rize,2176300,Çarşı Mah. Deniz Cad. Belediye Blokları No:253
Trabzon İli,Iskenderpaşa Köfte Salonu,Trabzon,3216055,İskender Paşa Mah. Cami Sok. No:15
Samsun İli,Mangal,Samsun,4070037,Adnan Menderes Bulv. Sahil Yolu No:8/A
Samsun İli,Bolkepçe Kardeşler Lokantası,Samsun,2303493,Kılıçdede Mah. Niğbolu Sok. No:3
Artvin İli,Cennet Lokantası,Hopa,0466 361 2276 ,İnönü Cad. No:6
Zonguldak İli,Yaman Restaurant,Zonguldak,2537878,Fener Mah.
Düzce İli,Bülent'in Yeri,Akçakoca,3806217197,Ereğli Yolu 4. Km.
Sinop İli,Komagene,Sinop,3152122,Cami Kebir Mah. Martı Sok. No:5
Bolu İli,Müdürnü Yemek,Mudurnu,4216695,Küçük Sanayi Sitesi B Blok D:18
Trabzon İli,Sumer Restaurant,Trabzon,4625121581,Macka Sumela Yolu 2. Km
Zonguldak İli,Oncu Döner,Zonguldak,2537035,Mithat Paşa Mah. Zübeyde Hanım Cad. No:19/B
Sinop İli,Pak Kardeşler Lokantası,Sinop,2615287,Kaleyazisi Mah. Cumhuriyet Cad. No:21
Samsun İli,Chick & Quick,Samsun,903624464404,Mimar Sinan Mh
Samsun İli,Yesil Ada Et Mangal,Samsun,03624630430,D-795
Samsun İli,Beyaz Ev Restaurant,Samsun,4370320,Atatürk Bulv. No:44
Trabzon İli,Durak Lokantası,Trabzon,2239987,Fatih Mah. Fatih Cad. No:4/C
Trabzon İli,Çınar Lokantası,Trabzon,3267766,Atatürk Alanı Taksim İş Merkezi D:2/B
Trabzon İli,Çardak Pide,Trabzon,3217676,Uzun Sok. No:4
Trabzon İli,Beykonağı,Trabzon,2732514,Akyazı Beldesi Akyazı
Ordu İli,Köytur Restaurant,Fatsa,4236417,Mustafa Kemal Paşa Mah. Pazar Sok. No:21
Ordu İli,Kervansaray,Ordu,0 452 2149518,Şarkiye Mah. Kazım Karabekir Cad. No:1
Samsun İli,Gaziantepli İmam Usta,Samsun,2335792,İstiklal Cad. No:106/B
Bolu İli,Vitamin Kebap,Bolu,2174677,Izzet Baysal Cad. Güzey Sok. No:5
Bolu İli,Müdür Restaurant,Bolu,3561070,"Dörtyol Mevki Zonguldak Cad. Mengen Merkez, Mengen"
Trabzon İli,Muizz,Trabzon,3300308,Değirmendere Mah. Sahilyolu Cad. Forum Trabzon K:1 D:15
Bolu İli,Sef Dursun'un Yeri,Bolu,3805466031,"Tunele Girmeyip Bolu Dagin'dan Gecin, Bolu Dagi E-5"
Zonguldak İli,Damak Tadı,Gökçebey,5327401,Ankara Asfaltı Bakacakkadı
Trabzon İli,Ikinci Bahar,Trabzon,3268258,Atatürk Alanı Meydanı Suluhan No:1
Bolu İli,Ay Yemek,Mudurnu,4212317,Abant Sapağı
Artvin İli,Şavşat Lokali,Şavşat,(466) 5171759,İnönü cd. Halk Kütüphanesi Üstü
Trabzon İli,Gül Pide Salonu,Trabzon,2234282,Toklu Mah. Kuran Kursu Cad. No:4/A Trabzon Merkez
Rize İli,Şehzade Restaurant,Rize,2146160,Sahil Dolgu Sahası No:6
Trabzon İli,İstanbul Kır Pidesi,Trabzon,2271104,Dürbün Ağa Mah. İnönü Cad. No:115 Akçaabat Merkez
Giresun İli,Sultan Sofrası,Görele,5132738,Salih Sinirlioğlu Cad. No:34/B
Giresun İli,Hasan Ağa Köfte Salonu,Görele,5131613,Eski Belediye Sok. No:10/B
Bolu İli,Bitur Restaurant,Bolu,0374 212 56 16,İzzet Baysal Cad. Belediye Meydanı No:93/C
Bolu İli,Haşim Lokantası,Bolu,444 9 386,Paşaköy Mah. D-100 Karayolu Cad. No:80/B
Trabzon İli,Tad Pizza And Burger,Trabzon,3211238,Atatürk Alanı No:11
Samsun İli,Usluoglu,Samsun,3624373701,No:148 Ilkadim
Bolu İli,Meram Restaurant,Mudurnu,+90 533 763 5492,SeyrancIk Mah.Ankara Cad.No:4
Trabzon İli,Migron Restaurant,Trabzon,04623233310,Uzungol (fevzipasa cad)
Samsun İli,Burger King,Samsun,4313105,Hürriyet Mah. İstiklal Cad. No:62 Kale
Giresun İli,Ciğköftem,Giresun,2167978,Gazi Cad. No:36
Düzce İli,Beyzade Kebap,Düzce,5242211,Kültür Mah. Mehmet Akif Cad. No:25
Samsun İli,Sampi,Samsun,4323434,Kale Mah. Cumhuriyet Cad. No:6
Trabzon İli,Hamsiköy Dag Tesisleri,Trabzon,"
",Zigana gecidi cikisi
Rize İli,Kalegon Dağ Evi Tesisleri,Rize,6572122,Ayder Yaylası
Kastamonu İli,Kebabistan,Kastamonu,2140104,Topçuoğlu Mah. İzbeli Sok. No:4/B Kastamonu Merkez
Giresun İli,Yetimoğulları Kebap Ve Pide Salonu,Giresun,2120839,Sultan Selim Mah. Köprülü Han Sok. No:1/E
Rize İli,Gurgendibi Tesisleri,Çamlıhemşin,4646572137,Ayder Giris Kapisi Yani
Trabzon İli,Çiğköfteci Ömer Usta,Trabzon,3261512,Kahramanmaraş Cad. No:38
Samsun İli,Meşhur Dönerci Çalıkuşu,Samsun,4360111,Denizevleri Mah. 226. Sok. No:36
Zonguldak İli,Capari Restaurant,Zonguldak,623 1171,"Kale Dibi Mevki No.1 Hisaronu (Filyos), Caycuma"
Zonguldak İli,Engin Balık Restaurant,Ereğli,3234554,Çınaraltı Cad. Bakıcı Barınağı
Trabzon İli,Sürmene Pidecisi,Sürmene,3266687,Maraş Cad. Ticaret Mektep Sok. No:6/A
Trabzon İli,Kristal Oyun Salonu,Trabzon,04623265275,Kristal Oyun Salonu
Zonguldak İli,Kuytu Kebap,Zonguldak,2521202,Mithat Paşa Mah. Şemsi Denizer Sok. Kılıç Pasajı K:Zemin
Samsun İli,Unal Menemen Lokantasi Pide Firini,Samsun,3627516029,Samsun- Ankara Karayolu 35. Km Cakalli Mevkii
Samsun İli,Çeşni Restaurant ,Samsun,2302588,Çiftlik Mah. Divitçioğlu Cad. No:62/A
Kastamonu İli,Dir Dir Cafe,Kastamonu,366 2140020,Ismail Bey Mah. Kisla Caddesi 15/A
Giresun İli,Deniz Lokantası,Giresun,2161158,Alparslan Cad. No:3
Trabzon İli,İstanbul Kır Pidesi,Trabzon,3212212,Uzun Sok. No:63 Trabzon Merkez
Trabzon İli,Kebapçıoğlu Lahmacun & Kebap,Trabzon,3340656,Adnan Kahveci Mah. Polis Okulu Cad. No:13/A
Rize İli,Sarı Köşk Restaurant,Rize,5321195,Eski Pazar Mah.
Samsun İli,Simit Master,Samsun,+(90)5068668788,Karadeniz Mah Lise Cad No 2
Ordu İli,Espiye Park Pide,Ordu,2331980,Karşıyaka Mah. Atatürk Bulv. No:48/A
Düzce İli,Sofram Kebap,Düzce,5120304,Spor Sok. No:12
Zonguldak İli,Cetinler Restaurant,Zonguldak,3722610098,Iliksu Plaji Yani Kozlu
Giresun İli,Aspava Çorba Kebap ve Yemek Salonu,Giresun,2128587,Giresun Cad. No:16/A
Samsun İli,Bizler Pide Salonu,Samsun,8767575,Fenk Mah. Cumhuriyet Cad. No:7 Terme Merkez
Trabzon İli,Altindere dinlenme tesisleri,Maçka,05415469861,"Altındere Köyü, Maçka"
Bolu İli,Mazi Cafe & Restaurant,Bolu,2176262,Tabaklar Mah. Cumhuriyet Cad. No:67
Trabzon İli,Şehzade,Trabzon,3216690,Inönü Mah. Affan Sok. No:4
Düzce İli,Marina Cafe & Bar,Akçakoca,90531257100,Yali Mahallesi Misafir Sok No 36
Trabzon İli,Belemir Restaurant,Yomra,905344240443,D-010
Trabzon İli,Akpinar Yildizli Restaurant,Trabzon,462 6660777,"Yildizli Toki Konutlari Yani, Akcaabat"
Samsun İli,Heliport cafe,Samsun,"
",19 mayıs üniversitesi kurupelit kampüsü
Giresun İli,Orta Kahve,Giresun,4542165100,Gazi Caddesi Topal Sok. No:1 Merkez/Giresun
Trabzon İli,Şenol'un Yeri,Çaykara,0538 913 9361,Sultan Murat Yaylası Ataköy Caykara
Samsun İli,Samsun Çarşı Restaurant,Samsun,4354970,Sakarya Cad. Salih Bey Sok. No:10
Trabzon İli,Sofram Pide Salonları,Trabzon,3225446,Uzun Sok. Can Bakkal Iş Merkezi K:Zemin
Trabzon İli,Domino's Pizza,Trabzon,2055555,Yeşiltepe Mah. Yavuz Selim Bulv. No:327/A
Giresun İli,Cinaga'nin Yeri,Giresun,(0454) 649 61 02 ,Trabzon-Giresun Yolu uzeri Yolagzi Mevkii
Samsun İli,Necati Usta,Samsun,4670656,"Ataturk Bulv. No:4 Catalcam, Atakum"
Bartın İli,Tuana Balık Restaurant,Amasra,3152737,Mendirek Mevki Buyuk Liman Cad.
Trabzon İli,Sebnem Cafe,Trabzon,326 7705,Uzun Sok. Cinili Carsi K 1 D 38
Kastamonu İli,Gülfizan Cafe & Restaurant,Kastamonu,+90 366 212 9666,Aktekke Mah. Fakulte Sok
Kastamonu İli,Ehli Kebap,Kastamonu,2124202,İnönü Mah. Salı Pazarı D:8 Kastamonu Merkez
Düzce İli,Kamelya Restaurant,Düzce,903806113033,Ataturk cd. No:1
Bartın İli,YAKAMOZBALIKEVİ,Amasra,05448580074,Yakamoz Balik Evi
Trabzon İli,Doksanoğlu Döner,Trabzon,3264671,Uzun Sok. Doksanoğlu Pasajı No:85 Trabzon Merkez
Trabzon İli,Onur Piliç,Trabzon,4623216636,Kahramanmaraş Cad. No:38
Düzce İli,Eserbahce,Düzce,903805412542,Duzce Yolu Uzeri Duzkoy Mevki Konuralp
Sinop İli,ZeyDen Mutfak,Sinop,03682619923,Kahvalti-Ev Yemekleri
Bolu İli,Karakan Büfe,Mudurnu,4213140,Kaygana Mah. Bolu Cad.
Giresun İli,Sahil Pide Salonu,Görele,5136475,Sahil Cad. No:99
Trabzon İli,Cephanelik Cafe & Restaurant,Trabzon,+90 (0) 462 323 02 61,Boztepe Mah
Trabzon İli,Akpınar Köfte Salonları,Trabzon,2289545,İnönü Cad. No:83/D Akçaabat
Düzce İli,Corbacızade,Düzce,380 523 90 50,Kültür Mah. Mansur Bayram Cad. (İstanbul Cad.)
Rize İli,Kızkule Restaurant,Rize,6121232,Bulvar Cad. No:30 Pazar Merkez
Ordu İli,Saklı Bahçe,Ordu,9004525275315,Caytepe Koyu Saray Burnu Mevkii
Düzce İli,lala et restaurant,Düzce,903807901350,Kultur Mah. Istanbul Cad. No 1 kat3 Krempark Avm
Zonguldak İli,Çiğköftem,Zonguldak,2535121,Gazi Paşa Cad. Çelikel İş Hanı No:5/B
Trabzon İli,Nizam Usta,Trabzon,904627715898,Yali Caddesi 1
Samsun İli,Köftem Akçaabat,Samsun, 0362 438 9396 ,Alparslan Bulv. Türk- İş Kavşağı 23. Sok. No:3
Trabzon İli,Nihat Usta,Trabzon,3300909,"Değirmendere Mevki Devlet Sahil Yolu Cad. Forum Trabzon K:-1 Trabzon Merkez, Trabzon Merkez"
Bolu İli,Kebapçı İskender,Bolu,0374 217 8130 ,Tabaklar Mah. İzzet Baysal Cad. Börekçiler Sok. No:6 D:1
Trabzon İli,Kayalar Aile Pansiyonu & Restaurant,Trabzon,5311057,Altındere Milli Parklar Vadisi Sümela Manastırı Yolu
Zonguldak İli,Günbatımı Balık Restaurant,Zonguldak,0 372 4180171,Park Cad.
Rize İli,Hamdibey Balık Lokantası,Rize,2148029,Kamburoğlu Sok. No:6
Samsun İli,Turkiş Et Lokantaso,Samsun,4383595,Cumhuriyet Mah. Alparslan Bulv. No:6/C
Zonguldak İli,Yalı Restaurant,Ereğli,3228103,Orhanlar Mah. Yalı Cad. No:64
Trabzon İli,Kahve Dünyası,Trabzon,4622233321,61040 ulbahar Hatun Mahallesi Atapark KarsIsI Merkez
