isim,tel,adres
Farika Döner,+(90)2124858228,Basak Mah. Hurriyet Bulv. Enkoop Cd No:1A Basaksehir
Loti Cafe & Dining,212 5183159,Piyerloti Caddesi No : 1 Cemberlitas
Turko Baba Restaurant Cafe,902125175511,Kucuk Ayasofya Mah. Liman Cad. No: 132/A
Adres Restaurant,2179910,Fulya Mah. Meliha Avni Sezen Cad. Sakiz Agaci Sok. No:47/C
Enes Ibrahim Restaurant,+(90)5350204261,"Hocapasa Mahallesi, Ibnikemal Cadddesi No 28/A"
Tatar Salim Döner Lokantası,(216) 408 26 26,Atilla İlhan Cad. Efe Sok. No:2/1 Küçükbakkalköy / Ataşehir
Cezayir Restaurant,02122459980,Hayriye Caddesi 12
Karadeniz İmren Lokantası,6381196,Kadırga Liman Cad. No:81 Fatih
Gani Gani Sark Sofrasi,244 8403 ,Taksim Kuyu Sok. No. 11
Assk Kahve / Kurucesme,+90 212 265 4734,Muallim Naci Cad. No:64/B
Çanak Kebap & Katmer,2163252234,19 Mayıs Mah. İnönü Cad. D:94 Kadıköy
Mavera,+90 216 318 3161,Buyuk Camlica Cad no50
Köfteci Hüseyin,2437637,Taksim Mah. İstiklal Cad. Kurabiye Sok. No:14 Beyoğlu
400 Derece,2125112109,Av. Sureyya Agaoglu Sok. No:13a Tesvikiye - Sisli Istanbul
Cafe Eyfel,2125173584,Peykhane Sk. 27/1 CEMBERLITAS/ISTANBUL
Terrace Old City The President Hotel,+(90)2125166980,Tiyatro Cad. No :25 Beyazit
Defne Bar and Restaurant,0212 458 91 61,Akbiyik Cad No. 54 Sultanahmet
Doy Doy Restaurant,212 5171588,"Sifa Hamami Sokak No. 13, Sultanahmet"
Harbi Adana Kebap & kaburga,212 327 21 01,Muvakkit Sokak No:18 Ortaköy
Filiz Restaurant,2620544,Haydar Aliyev Cad. No:166
Ortaköy Waffle,(0212) 5887168,Millet Cad. No: 79
Taç Balık Restaurant,90-216-331-0051,Cubuklu Mh. Piri Reis Caddesi
Asli Doner Iskender,5176630,Piyerloti Cad. Dostluk Yurdu Sok. No:4
Ritim Galata Bistro,"
",Galata Kulesi Sokagi 3D
Tencere Tava Kahvalti Evi - Cafe&Breakfast,+90 212 233 5161,Papa Ronchalli Sokagi No:2/C Elmadag-Sisli
Metet Kozde Doner,216 486 38 38,Bulgurlu Cad. No:120 Uskudar
Öztürk Pide ve Kebap Salonu,2430663,Müezzade Mah. Galipdede Cad. No:72
Fıccın ,[212] 243 83 53,Kallavi Sok. No:7
Oceans 7 Restaurant,+90 212 458 8656,Akbıyık Cad No:49
Yanyalı Fehmi Lokantası,3363333,Söğütlü çeşme Caddesi
Poisson Restaurant,90 212 258 4900,Mecidiye Mah. iskele Meydani Sok. No:26
Eleos,(0212) 663 39 11-573 68 28,Yeşilbahçe Sok. No:9 Yeşilköy
Gakki Karakoy,533 362 6556,Kilic Ali Pasa Mescidi Sok.kemankes Mah.no 10/B
Iskender Iskenderoglu,4163936,"Kadıköy'deki Beşiktaş iskelesi karşısı, Albay Faik Sözdener Cad."
Meshur Eminonu Balikcisi,5288208,Yeni Galata Koprusu D:25
Kenger,"
",Yazarlar Birligi Karsisi Divan Yolu cad. Hoca Rustem Sok. Kader Han #9/A
Adana Ocakbaşı,2470143,"Ergenekon Caddesi, Baysungur Sokak 8"
Muzedechanga,2123230901,Sakıp Sabancı Cad. No:42
Eleos Restoran,21224490 90,İstiklal Cad. Hıdival Palas No:231 K:2 Beyoğlu Merkez
Piknik Köfte & Piyaz,2519969,İstiklal Cad. No:173/C Beyoğlu Merkez
Sabırtaşı Mantı ,212 2448226,Istiklal Cad. No: 112 Kat : 5 (opposite of YapIkredi Bank ) Galatasaray / Istanbul
Makarna Sarayı,+90 212 511 2683,Vezirhan Cad. No:18 Çemberlitaş Tramvay Durağı (Cami Tarafı)
Yirmibir Kebab,212 244 38 73,"Mesrutiyet Caddesi, 31"
Warung Ibu Deden,+90 534 278 3454,"Kucuk Ayasofya Mahallesi, Nakilbent Caddesi"
Cistern Bistro Bar, 212 458 9161,Cankurtaran Mh Akbiyik Cd. No:54 Sultanahmet
Safran Restoran,+90 212 368 44 44,Asker Ocağı Cad. No: 1
Divan Brasserie Beyoglu,+90 212 243 2481,"Tomtom Mahallesi, Istiklal Caddesi, Merkezhan, Kat 5/6, No 181"
Kadi Nimet Balikcilik,3487389,Serasker Cad. Tarihi Balikcilar Carsisi No:10/A
İstanbul Modern Cafe & Restaurant,2922612,Liman İşletmeleri Sahası Meclisi Mebusan Cad. İstanbul Modern No:4 Karaköy
Artefes Hotel Terrace Bar and Restaurant,+90 212 5165863,Kucukayasofya Mahallesi
Chico's Döner,+(90)2122324449-59,Tesvikiye Mh. Rumeli Cd. No 69/A Osmanbey Istanbul
Bursa Izgara,2439959,İstiklal Cad. No:31/D
Mekan Acıbadem Pasta&Cafe,2163405310,Acıbadem Caddesi 95/1A
Huqqa,+90 212 265 0666,Kurucesme
Cook Point,05326417677,"Mecidiye Mahallesi, Dereboyu Caddesi, Eski Bahce Sokak, No 9, Besiktas"
Ali Usta Burma Kadayif & Baklavalari,(0212) 522 89 27 ,Muradiye Cad. (Safhan) No:49/A
Aras Cafe Restaurant,+(90)2125201102,Alemdar Mah. Bestekar Osman Sk. No.: 8/4 Fatih-Sultanahmet
Address Restaurant,+90 212 514 8082,Hudavendigar Caddesi Dervisler Sok. No:4
İncirli Şaraphane,+90-212-2571129,Muallim Naci Cad. No:107
West Town,+90 212 217 2217,Cankurtaran mah. Mimar Mehmet Aga Cad. No: 13
Malta Kosku,2589453,Yildiz Mah. Yildiz Korusu Ciragan Cad.
Kervan Kasap Restaurant,+(90)02127894030,Ferhatpaşa Mah.Çatalca Yolu (Girişi) Üzeri no.15/2
Halat Restaurant,02123696607,Hasköy Cad. No: 27
Tramvay cafe,+90 212 245 6005,istiklal Cad. No:166/A Beyoglu
Cafe Zone,2122966590,kuyumcu irfan sok. no.11
Suleymaniyeli Kurufasulyeci - 1924,0(212)5136219,Suleymaniye
Marmelat Cafe,+902122444533,Camekan Sokak
Arabesque,(212) 231 03 56,Taşkışla Caddesi No.19
Merih Restaurant,2454325,Hamalbasi Cad. No:16/A
Balat Cafe & Restaurant,+90 212 343 95 55,Çorbacı Çeşmesi Sok. No:33
Saray Restaurant Cafe,0212 518 54 42,Küçük Ayasofya Mah. Kadırga Liman Cad. No:166
Vogue,+90 212 227 44 04,Akaretler Spor Cad. No:92 BJK Plaza A Blok K:13
Köfteci Ramiz,02122439093,İstiklal Cad. No:85/B
Bread and butter,212. 248 40 00,Nişantaşı Mim Kemal Öke Caddesi No:1/C Şişli
Kubbeli Salon,3774000,Meşrutiyet Cad. Pera Palace Hotel No:52 Beyoğlu
Limonlu Bahçe,+90(0)212 2521094 ,Yeni Çarşı Caddesi No:98
Istanbul Restaurant,0212 517 26 94,Gedikpasa Cad 24/1
Sedef Sultanahmet,"
",Isik Sokak
Gram,+90 212 243 10 48,107D Mesrutiyet Caddesi
Divane Restaurant & Cafe,5267277,Divan Yolu Cad. Hoca Rüstem Sok. No:2 Sultanahmet
Kosk2,+90 212 638 4757,Kadirga liman cad kucuk Ayasofya Mah. Cami sok. No:12
Sembol Meat House,(+90) 212 458 6863,Seyit Hasan St. Nr :14
Dragon Restaurant,+212 2314650,"Cumhuriyet Cad. Hilton Oteli Sergi Binası Harbiye, Şişli"
Hafiz Mustafa,212 527 6653,"Hoca Pasa Mah. Muradiye Cd 25/B Eminonu/Cagaloglu/Istanbul - Avrupa, Turkey"
Çargah Restaurant,+90 212 397 2212,Yenibosna Merkez Mh. Degirmenbahce Cd. No: 17A1-11
Oz Kilis Kebap Salonu,5234457,Bedrettin Simavi Sok. 5/A
Karadeniz Pide ve Doner Salonu,2369084,"Sinanpasa Mah. Mumcu bakkal Sokak No 6, Besiktas"
Bebek Badem Ezmecisi,"
",Cevdet Paşa Caddesi No. 53/C Bebek
Tatseven Restoran,5166426,"Mesih Paşa Cad. No:1/A Aksaray, Fatih"
Paşabey Ocakbaşı,+90 212 244 2220,Kurabiye Sok. No: 26
The House Cafe İstiklal Caddesi,2517991,Tomtom Mah. İstiklal Cad. Mısır Apt. No:163 Beyoğlu
Hala Mantı,00 90 212 2927004,"Cukurlu Cesme Sokak No. 26, Beyoglu"
Kaşıbeyaz,+90 444 1 040,"Şenlikköy, çatal sokak no:19 Florya"
Dürümcü Baba,0212 662 48 48 - 49 ,Bostan Sok. No:28 D:1
Mangerie,+90 212 263 51 99,Cevdet Paşa Cad. No:69 K:3 Bebek
Tuğba Kuruyemiş,+90 212 572 6202,Fahri Korutürk Caddesi No:3
Cafe Kazancı,0 212 292 99 40,Gümüşsuyu Mah Kazancı Yokuşu no 43
Nişantaşıköşebaşı,+90 212 230 3868,"Bronz Sokak, No:5"
Simit Sarayı,6641535,İstiklal Cad
PeyDerPey,+90 212 243 0999,Istiklal Cad. No: 227
Robin's,+90 212 245 9443,Sahkulu Mahallesi Galip Dede Caddesi No:56
Scoop Galata,+(90)212 243 3717,"Galipdede Caddesi, Tımarcı Sokak, No:3A, Galata"
Kenan Usta Ocakbasi - Grill Restaurant,212 2935611,"Kurabiye Sokak, 18 - Beyoglu (Istiklal Caddesi - Taksim)"
Antica Locanda,(0212) 287 97 45 ,Satış Meydani No:12
Angel Mercan,3956069,Manastır Mevkii Cafer Sokak No:18 Tuzla Merkez
Hoca Pasa Pidecisi,5120990,Hoca Pasa sk 19
Sur balik,"
",Cankurtaran
Fiore Pizzeri Italian Restaurant,+(90)212 243 9899,Miralay Sefikbey Sokak No:9/A Gumussuyu/Istanbul
Laleli Iskender,5113696,"Gencturk Cadessi, No54 Laleli,"
Megara Palace,90 212 518 36 56,Ishakpasa Cad. 8
Adonin Cafe & Restaurant,514 0029 ,Divanyolu Caddesi Ticarethane Sokak No:27/31
Elif Cafe,+90 212 638 2584,Mimar Mehmet Ağa Caddesi No 2 Sultanahmet Arasta çarşısı
Kota Karaköy,+90 212 244 0610,Lüleci Hendek Caddesi Hacımimi Mahallesi No:25/1
Nizam Pide Salonu,2495501,"Kamerhatun Cad. No:3 Tarlabaşı, Beyoğlu"
Karakol Restoran,+90 5149494,Topkapı Sarayı
Münferit,0212 252 5067,Firuzağa Mah. Yeni Çarşı Cad. No:19
Müşterek Meyhane,+(90)5557186559,Sehit Muhtar Mahallesi Mis Sokak No:15 Kat:1 Beyoglu
Hayvore,+90 212 245 7501,Kuloglu MH Turnci Basi SK NO 4 Beyoglu Taksim
Pi Laff,+(90)216 330 11 21,Cagferaga Mah. Bademalti Sk Leylak Sk. No:20
Semazen Restaurant,+90 212 522 8486,"Alemdar Mah. Ticarethane Sk, No:11 Divanyolu Cad."
Tandir Candir,2165741515,Atasehir Bulvari Ata 2/2 no: 9 Atasehir
bi Nevi Karakoy,+(90)2122496880,Necatibey Cad. Karanlikfirin Sok. No:5/A Karakoy
49 Cukurcuma,249 0048,Kuloglu Mah. Turnacibasi Cad. No. 49/A
Fatih Kofte,2126389394,Mimar Hayrettin Mah. Gedik Pasa Cad. No:8b
Semolina Kafe & Restoran,+90 216 330 8606,Ressam Seref Akdik Sok. No. 7/A
Develi Restaurant,212-585-1189,Balik Pazari Gumusyuksuk Sokak 7
Balik Ekmek,5597400,5. Kisim Carsisi D:32
Dersaadet,902122927001,Klodfarer cad. Ragip Uluca apt. 27/1
Surplus Restaurant,+90 212 520 1002,Rüstempaşa Mah. Ragıp Gümüş Cad.
Kumkapı Hos Seda Restaurant,212 517 84 47,Muhsine Hatun Mah Samsa Ordekli Bakkal Sok. No:1/2
Optimus Cafe & Restaurant,518 4600,Piyer Loti Cad. No. 37
Avam Kahvesi,+(90)212 2927276,Katip Mustafa Celebi Mh. Cukurlucesme Sk. No: 4/A Beyoglu
Rami Restaurant,+90 212 517 6593,Cankurtaran Mah. Utangaç Sok. No:6 Sultanahmet
Aladesamis cafe restaurant,+90 212 458 8656,Cankurtaran Mah. Akbiyik Cad:No 41
Rumeli Tatli ve Borek Evi,212 5164880,"Peykhane Caddesi No: 41/5, Sultanahmet"
Dubb Ethnic Restaurant,517 6828,Amiral Taftil Sok No:25
Palato Cafe Restaurant,+902124585879,Akbiyik Cad.
The Globe Restaurant - Hilton Istanbul Bomonti,+(90)7083142,Silahsor Caddesi No:42 Bomonti Sisli
Beyaz Lokanta,0212-292 71 98 ,"Istiklal Caddesi Imam Adnan Sokak No: 10, Beyoglo Istanbul"
The Home Suites & Spa Restaurant,+90 212 638 8801,Kucukayasofya Caddesi No:60 Sultanahmet
Nena Restaurant,212-516-5264,Klodfarer Cad. No: 8-10
Cuma,+90 212 293 2062,"Firuzaga Mh, Cukurcuma 53"
Leb-i Derya Richmond,0 212 243 43 75,Istiklal Caddesi. No: 227 Tunel
Galatalı Balık,0212 243 0485,"Kemankes Mah,Rihtim Cad No 8 Kat 7"
Panoramic Restaurant,+90 0212 511 1936,Yerebatan Cad No 47
Armada Sera,+ 90 212 455 44 55 ,AhIrkapI Str. No:24
Deniz Yıldızı Restaurant,4228083,Havuzbasi Cad. Karakol Sok. No:9
Suna'nin Yeri,(0216) 332 32 41,Iskele Caddesi No. 4-17
Durumce,2594924,Cigdem Sok. No:3
Gulhane Park Restaurant,5196868,Hobyar Mah. Nobethane Cad. Gulhane Park Hotel No:1
Asmali Cavit,212 2924950,Asmalimescit Cad. No16/D
Osmanli Kebapcisi,02125228954,250 Eminonu
Sokullu Restaurant,0212 458 3536,Binbirdirek Mah. Dizdariye Cesme Sok. Emre Han No. 11/A
Otantik Anadolu Yemekleri,2169264,Istiklal Cad No 170
Faros Sultanahmet,0212 256 99 11,Divanyolu Cad. No: 76
Leb-i Derya,+90212 293 49 89,Kumbaracı Yokuşu 115/7 Tünel
Nusr-Et Etiler,+(90)212 358 30 22,"Nispetiye Caddesi No:87 Etiler, Besiktas"
Şehzade Taksim,90-212-361-0849,Kocatepe Mah. Abdülhak Hamit Cad. No: 17/1-2
Mozaik Restaurant,+ 90 (212) 512 4177,İncili Çavuş Sok. No:1
Kilisli Kebapci Ali Usta,0212 5190478,"Kapalıçarşı, Beyazıt Mahallesi, Tacirler Sokak, No 2, Fatih, İstanbul"
Bizim Mutfak Lokantasi,+90 (212) 522 78 46,Hobyar mah.Seyhulislam Hayri Efendi Cad.no:2-2
Pacaci Hasan,(0212) 531 65 66,Gureba Hüseyinağa Mah. Şekerci Sok. No: 8/1 AKSARAY
Nakka Bistro,212 252 62 92,Şahkulu Mah. Galip Dede Cad. Tımarcı Sok. No:4
Dai Pera Istanbul Cuisine,+90 212 252 8099,YenicarsI Caddesi No 54 Galatasaray
Sur Balık Sarayburnu,+90 212 517 5302,Kennedy Caddesi Sahilyolu No:38/1
Lady Diana Restaurant & Bar,+90 212 516 6661,Cankurtaran mah. Utangac Sokak 23/A Sultanahmet
Hocapasa,0212 - 520 0800,Hocapasa Sok. No.19
Miss Pizza,212 251 32 78-34,Havyar Sokak No: 7 - Cihangir/Mesrutiyet Cd. No:86A
Neolokal,+90 212 244 0016,Salt Galata Bankalar Caddesi No 11 Karakoy 34420
PePo Cafe and Restaurant,+90 212 245 1696,Bereketzade mhl. Camekan Sk.No:1/D
Karakoy Lokantasi,2122924455,Kemankes Caddesi 37
Tarihi Sultanahmet Köftecisi Selim Usta,3600244,"Göztepe Mah. Bağdat Cad. Mustafa Mazharbey Sok. Fahriye Apt. No:2 D:1 Göztepe, Kadıköy"
Açık Mutfak,0212 293 7433,Galipdede Cad. Timarci sokak 6b
Hard Rock Cafe Istanbul,+90 212 2446738,Mesrutiyet Cad. No:3
Leb-i Derya,2511008,İstiklal Cad. Rumeli Han C Blok K:5 D:43 Beyoğlu Merkez
Mavi Nokta Balik Fish Restaurant,+90 212 638 3888,Sehsuvar Bey Mah.Capariz Sokak 41/43
Kallavi,6513550,Evren Cad. Hayatpark Alisveris ve Yasam Merkezi No:111 K:3 D:811
Cozy Bar and Pub,212 5200990,Divan Yolu Cad. No:66 Sultanahmet
Altınkupa,+90 212 519 4770,yerebatan caddesi Şeftali sok no 6
Ayasofya kebap house,902125123109,Catalcesme Sokak Prof. Kazim Ismail Gurkan Caddesi
Cihannüma Restaurant,0212 520 7676,Yerebatan Cad. No:18
Alcatra Brazilian Steakhouse,902122366606,Sortie Club
Joker Bufe,0507485365,Carsikapi Nuruosmaniye Cad. no. 19
Sütiş,0 212 323 50 30,"Emirgan Mah. Sakıp Sabancı Cad. No:1/3 Emirgan, Sarıyer"
Cloud 7 Restaurant & Bar,0212 310 1200,Bayildim Cad. Hilton Parksa No. 12 Macka
La Scarpetta,+90 212 263 5353,Dilhayat Sokak No:16
Erol Restaurant,+90 212 511 0322,Catalcesme Sok No:3
Yesil Ev,212-517-6785,Kabasakal Caddesi 5
Beeves Burger,2125274524,Vasifcinar Caddesi No:84 Sultanhamam / Eminonu
Ulus Cafe,02122638437,"Besiktas, Adnan Saygun Cd 71/B"
Bosphorus Terrace Restaurant,90-212-3156000,"Cumhuriyet Cad. Hilton İstanbul Harbiye, Şişli"
Datli Maya,+90 212 292 9057,Firuzaga Mahallesi Turkgucu Caddesi No.59/A
Med Cezir Restaurant,02125175935,Tevkifhane Sok. No: 6
Dürümcü Emmi,2163481886,Osmanağa Mah. Mahmut Baba Cad. No:11
Esmer Cafe,2455656,"İstiklal Cad. No:76 Taksim, Beyoğlu"
Lokanta Armut,+(90)2122292225,Ataturk Caddesi 6/B
ZUMA restaurant,+90 212 236 2296,Salhane Sok. No:7 Ortaköy
Tekin kebap,902122376236,10 Aynali Cesme Caddesi
Galata Restaurant & Bar,+90 212 293 1139,"Istiklal Caddesi, Orhan Adli Apaydin Sokak No:5/A Beyoglu-Istanbul"
Fes Cafe,"
",Alibaba Turbe So. No. 25-27
Lider Pide,5266361,Tepeüstü Poyraz Cad. No:17 Ümraniye
Osmanlizadeler,902125266262,Hudavendigar Cad No2 /A
Ney'le Mey'le Meyhane,+90 212 249 8103,İstiklal caddesi Nevizade Sokak No:12
Gulhane Sark cafe restaurant,+90 541 658 7796,Alaykoscu Caddesi Zeynep Sultan Cami Sok. No/1
Ali Ocakbasi - Pera,902122430253,Asmali Mescit Mah. Oteller Sokak No: 5/A
Express Restaurant & Cafe Bar,0212 522 52 73,Vidinli Tevfik Paşa Caddesi
Can Restaurant & Cafe,+90 212 512 1617,Nöbethane Cad.Dervişler Sok.No:12/A
Köşk Cafe & Restaurant,2125173479,Cankurtaran Mah. Akbiyik Cad. Adliye Sok. No 9/A
Pizzeria Trio,0212 252 44 44,Billurcu Sok. No:5
Şirin Köfte,5275294,Muradiye Cad. Vezir Çıkmazı Sok. No:5 Fatih
Aşkana Mantı,2687442,Ulus Mah. Metehan Sok. Türkel Apt. No:1 Beşiktaş
Nizam Pide Salonu,249 7918,Istiklal Cad. Buyuk Parmak Kapi Sok. No. 11/B Taksim
Alo Dürüm,5141626,Hobyar Mah. Ankara Cad. Dervişoğlu Sok. No:5 Fatih
Agatha Restaurant,377 4000,Mesrutiyet Caddesi 52 Tepebasi
Seven Hills Restaurant,+90 (212) 516 94 97,Tevkifhane Sokak No: 8/A 34400 Sultanahmet
Ciya Kebap, (216) 349 19 02,Caferaga Mah
Giritimu Meyhane,902524464022,Tomtom Mah. Akarsu Sk. No:6
Sahi,2122446363,Kemankes Kara Mustafa Pasa Mah. Kilic Ali Pasa Mescit Sok. No:2 Karakoy
Duble Meze Bar,+90 212 244 0188+90 212 244 0188,Mesrutiyet Caddesi No:85 Pera
Pera Thai,+90 212 245 5725,"Mesrutiyet Caddesi, 74 A"
Harem's Cafe,+90 212 638 2020,"Ordu Cad. Dibekli Cami Sok. No:10, Beyazit"
City Lights Restaurant Bar,+90 212 368 44 44,InterContinental Istanbul Asker Ocagi Cad. No.1
Üçüncü Mevkii,"
",Ogut Sokak No: 18
Divan Lubnan Restaurant & Cafe,+(90)5530316182,"Ataturk Bulvar NO 10, Aksaray"
Ziya Baba Slow Food,212 5164772,Kadirga Liman Cad. Bardakci Sok. No: 1 Byzas Otel Icinde
Hippodrome Restaurant,00902125186987,Kucukayasofya Can. No 41A
Belli,00902125181023,Cayiroglu Sk. No. 46
Cafe Sehrim Istanbul,212 513 0829,"Nazir Izzet Efendi Sk No:9, Eminonu"
Armada Terrace Restaurant,90-212-4554455,"Ahirkapi Sok. No:24, Cankurtaran"
Palmiye Restaurant Istanbul,+902125276476,Alemdar Mah Incili Çavuş Sok No 35
Sirkeci Balikcisi,528 4344,Taya Hatun Sokak No. 5
Çukur Meyhane,(0212) 244 55 75,Turnacıbaşı Caddesi Kartal Sokak No.1/A Galatasaray
Laledan Restaurant,212 326 4646,Ciragan Palace Kempinski Istanbul
Adamar,"
",Yerebatan cadessi 37
Sultanahmet Koftecisi,0212 520 05 66,"Alemdar Mahalle, Divanyolu Caddesi 12A"
Ali Haydar Ikinci Bahar,5842162,Haci Huseyin Aga Mah. Samatya Meydani Gumus Yuksuk Sok. No:6
Can Oba Restaurant,02125221215,Hocapaşa Mah. Hocapaşa Sok. No:10
1901 Cafe & Bistro,+(90)444 33 34 ,Turnacibasi Caddesi No:1
Kaserol,+(90)216650 7576,Bulgurlu Mh. Izzettinbey Sk. 41/A
KumSaati Jazz Blues ,0212 245 72 73,Asmalımescid Mah.Jurnal Sok.No:17
Bridge Restaurant,3919585,"Nakkaştepe Yolu Baba Nakkaş Sok. No:62 Bağlarbaşı, Üsküdar"
Selvi Restaurant,2938964,Katip Mustafa Celebi Mah. Siraselviler Cad. No:6/I
Yasemin'in Mutfağı,+(90)212 526 4039,İskender Boğazı Kürkçüler Kapısı Sk. No: 22
Şahin Lokantası,2442543,"Asmalımescit Mah. Orhan Adli Apaydın Sok. No:25 İstiklal, Beyoğlu"
Meat & Meet Kasap Dursun,212 247 9629,"Cumhuriyet Mh., Silahşör Cd No:27, Şişli, Turkey"
Banyan,902122599060,Muallim Naci Cad. Salhane Sok. D:3 Ortaköy
Falafel House,0212 253 77 30,Sehit Muhtar Cad. No:19
Rotisserie Noir,+(90)02164451505,"No 460, Bağdat Caddesi, Suadiye, Kadıkoy"
Falls in Galata Restaurant,0212 243 19 20,Büyük Hendek Cad. No:35
Patisserie de Pera,+90 212 377 4000,"Mesrutiyet Cad. Tepebasi, No:52"
Cafe Mese,+90 212 519 1800,Hüdavendigar Caddesi No: 27
Pizano Pizzeria,2583035,"Mecidiye Mah. Eskibahçe Sok. No:17/A Ortaköy, Beşiktaş"
Vapiano,02164644265,bagdat caddesi
Seraglio Turkish Cuisine,+(90)2124588389,Akbiyik Cad. No: 67 Sultan Ahmet
The Byzantium Terrace,902124586200,Cankurtaran Mah
34 Restaurant of Grand Hyatt Istanbul,2123681234,"Grand Hyatt, Harbiye Mh., Taşkışla Caddesi No:1, Elmadag"
Hayyam Sofrası,0216 347 55 99 ,"Osmanaga Mh Uzerlik Sk No 27, Kadikoy"
Balkan Lokantası,5143494,Hoca Paşa Mah. Hoca Paşa Sok. No:12 Fatih
Laterne Cafe,2122443510,Katip Mustafa Mah. Billurcu Sk. No: 28 Taksim
Nice Kafe,"
",nalinci Kasim Sokagi 1
Namlı Rumeli Köftecisi,"
",Hocapasha
Kikero Falafel,+90 212 243 5070,Sahkulu Mah. Serdar-I Ekrem Caddesi No:1
AQUA Restaurant,90-212-38144059,Four Seasons Hotel Istanbul at the Bosphorus
Etiler Marias Restaurant,+90 212 352 2626,"Akatlar Mahallesi, Zeytinolgu Cadesi, Yesim Sokak No:7"
Burç Ocakbaşı,(0212) 527 15 16 ,Yaglikcilar Cad.Parcacilar Sok.12
Mardin Et & Kebap,511-97-08,Kurkculer Kapisi Sokagi 22
Karaköy Gümrük,+(90)(0212) 244 2252,Necatibey Caddesi Gumruk Sokak No:4 Karakoy
La Petite Maison,212 232 02 32,"Maçka Palas, Maçka Cad. No: 33B, Şişli"
Bycantium Hotel Terrace Restaurant,+ 90 212 458 6200-04,Akbiyik caddessi no 29
Mavi Balık,2655480,"Kuruçeşme Mah. Muallim Naci Cad. No:64 D:2 Arnavutköy, Beşiktaş"
Egg&Burger Diner Teşvikiye,+90 212 2969633,Muradiye Mh.Ahmet Fetgari Sk.No:38/A Şişli
Shang Palace,+90 212 275 8888,"Sinanpasa Mah, Hayrettin Iskelesi Sok, No.1, Besiktas"
Deja Vu Restaurant,+90 212 511 5339,Cad Mehmet Murat Dk. 8/7
Yildizlar Restaurant,+90 212 528 9248,"Galata Koprusu Alti, No:10"
Happy Moon's Cafe ve Restaurant,02164114086,Bagdat Cad. Noter Cikmazi Sok. Meltem Apt. No:9/A
Cooking Alaturka,902124585919,Akbiyik Caddesi 72a
Faros kebap,+90 2122503356,Kocatepe Mahallesi Sehit Muhtar Caddesi 28/A
Tarihi Eminonu Durumcusu,902125110040,Buyukpostane Caddesi
Victoria Ocakbasi,02122444555,istiklal cad. olivya gedcidi sk. no 11/3-A beyoglu-1st
Orası Burası,+90 216 382 1500,23 Nisan Caddesi No:24
Set Balik,0 (212) 262 04 11 - 262 34 98,"Kirecburnu Caddesi 18, Tarabya"
Sur Balık Cihangir,+90 212 245 1087,Kılıçali Paşa Mah. Akarsu Yokusu Cad.
Meşhur Sedef Dönerci,5162420,Divan Yolu Cad. Över İş Hanı K:Giriş D:21 Fatih
Sura Restaurant,+90 212 513 83 90,Divanyolu Cad. Alemdar Mah.Ticarethane Sk. No:45 Sultanahmet
Taksim Bahçıvan,2122449268,"Süslü Saksı Sok. No:27, Beyoğlu"
