sehir,isim,ilce,tel,adres
Antalya İli,Naturel Balikevi,Kemer,05368119901,Merkez Mah. Liman Caddesi 128 Sok. No 5/B
Antalya İli,Petek Patisseria And Cafe,Manavgat,"
",Democrasi Bulvari
Antalya İli,Bahçe Restaurant,Kaş,+90 242 836 2370,Uzun Çarşı Cad. İlkokul Sok. No:31
Adana İli,Paşalimanı Bistro & Lounge,Adana,+90 322 458 3555,Kurtuluş Mah. Şinasi Efendi Cad.
Adana İli,Tanrıseven Restaurant,Adana,0 322 235 91 77,Mıdık Bulvarı No: 237
Antalya İli,Pasa Kebap Salonu,Kemer,8142913,Merkez Mah. Ataturk Cad. No:36
Antalya İli,The Nar Bar and Restaurant,Kalkan,844 1640,Yali Boyu Mah. Hasan Altan Cad.
Antalya İli,Adana Dürüm Evi,Serik,02427220310,Orta Mah. Gedik Cad. No:3/A
Antalya İli,Stella's Manzara Restaurant,Antalya,+90 242 316 3596,Eski Lara Yolu 40
Hatay İli,Cafe Flör,İskenderun,6121814,"Çay Mah., Bahçelievler Sahil Cd Kunal Apt. No:30"
Antalya İli,Nomad,Mahmutlar,+90 533 5579945,Selahattin Yaman Caddesi
Antalya İli,Midpoint,Antalya,(0242) 324 12 35 – 324 12 36 ,"Fener Mah. Tekelioğlu Cad. TerraCity No:55 K:Giriş Fener, Muratpaşa"
Antalya İli,Steak House For You,Kemer,+90 242 824 7373,Merkez Mahallesi. Ataturk Caddesi. NO 48
Antalya İli,Kalkan Kebap,Kalkan,+(90)2428443350,Menteşe Mah. Cumhuriyet Cad.
Antalya İli,Citirim Pastaneleri,Alanya,242 5134043 ,Saray Mah. Hal Kavsagi Alanya / Antalya
Hatay İli,Affan Kahvesi,Antakya,90 326 215 1248,Kurtulus Cad. No 42 A
Antalya İli,Moonlight Restaurant,Kaş,753 1400,Barbaros Caddesi 49
Antalya İli,Alremu Bar & Restaurant,Manavgat,"
",", "
Antalya İli,Yorukoglu Restaurant,Çıralı,+90 2428257221,Ulupinar Village
Antalya İli,Ozdoyum Restaurant,Antalya,3461933,Sanayi Sitesi 668. Sok. D:1
Antalya İli,Crusoes,Alanya,"
",East Beach Side no:41 Alanya-ANTALYA-TURKEY
Antalya İli,Ali baba Fish Restaurant,Kalkan,902428443627,"Sehitler Caddesi, No: 33"
Antalya İli,Cardak Restaurant,Kemer,8250034,Ulupinar Koyu Merkez Mah.
Antalya İli,Restaurant Hasanağa,Antalya,+90 (0)242 2428105,"Mescit Sokak, 15"
Antalya İli,"zaruri ""caz makamında içkili lokanta""",Antalya,+90 242 324 9114,Caglayan Mah. 2055 Sok. 29/1 Antalya
Antalya İli,Sparx Restaurant,Kemer,8214032,Tekirova Beldesi Rixos Otel
Antalya İli,Elmalı Değirmeni Serpme Börekçisi,Antalya,02422292722,Altinkum Mahallesi Gazi Mustafa Kemal Bulvari
Antalya İli,Sea Star Scandinavian Corner Restaurant,Alanya,0242 513 1734,Saray Mah Sirinevler Sok No 1 Alanya
Antalya İli,aspendos restaurant_bar,Alanya,+(90)5115794______05447129199,Saray Mah. Turkmenbasi Sok. Aspendos Restaurant_Bar /Alanya
Antalya İli,Has Restoran,Kemer,8143376,Merkez Mah. Lise Cad. No:7/2
Antalya İli,Kazan Restaurant,Antalya,3240909,Fener Mah. Eski Lara Yolu Muratpaşa
Adana İli,Ciğerci Bedo,Adana,322 2328486,Turgut Özal Blv. Parlak Gümüş Apt. No: 111/B
Antalya İli,Paçacı Şemsi,Antalya,242 247 50 73,Tahıl Pazarı T. Cengiz Tonguç caddesi
Antalya İli,Kaptan's Filika Restoran,Alanya,+(90)2425131094,"Saray Mahallesi, Guzelyali Caddesi, No:7"
Antalya İli,Windmill Restaurant,Manavgat,"
",Gomecli Mah 200 SK.
Antalya İli,Tronder Ringo Place,Alanya,+(90)5379634359,Saray Mah.Ataturk Cad.Oral Sk.Ozdemir Apart.No:5
Antalya İli,Angel Restaurant,Alanya,5142263,Obagöl Mevkii Dadaşlar Sit
Antalya İli,Afilli Restaurant,Manavgat,902427533754,155 Selimiye Mh Kiremithane Sk
Antalya İli,Çıkla Restaurant,Alanya,5223335,Saray Mah. Stad Cad. No:29
Antalya İli,Sun Kiss,Manavgat,+90242 753 11 59 ,Denizbuku Mevki
Antalya İli,Golden Terrace Restaurant,Patara,843 5162,Patara Centrum
Adana İli,5 Ocak Kebap,Adana,+90 322 458 2868,Kurtuluş Mah. Sinasi Efendi Cad. Suphi Ramazanoğlu Apt. B Blok No:22
Adana İli,Cikcik Ali,Adana,322 431 1023,Kurtulus Cd.
Antalya İli,Tante Rosa,Antalya,+90 534 740 8948,Hukumet Caddesi No:12 Kas
Antalya İli,Cirali Restaurant,Çıralı,+(90)0242 825 7149,Cirali Mah. No.31
Antalya İli,Aubergine,Kalkan,+90 242 844 3332,Yaliboyu District. Kalkan harbour No: 25-27
Mersin (İçel),SOFRABEYAZ,Mersin,+(90)3243587722,Viransehir Mah 301 Sok Sahil Yolu
Antalya İli,Urfa Sofrası,Antalya,2296363,Uncalı Mah. 23. Cad. Centek Sitesi C Blok No:2 Konyaaltı
Antalya İli,Deja vu Cafe bar,Kaş,+90 242 836 1747,Hukumet caddesi No:12
Antalya İli,Bella Alanya Heikinbaari,Alanya,5422538176,Saray mahallesi Mehmet Akif Ersoy Caddesi NO:21/B
Antalya İli,Azura Restaurant,Mahmutlar,507 453 16 00,"Azura Park, Sarihasanli Cd"
Antalya İli,Marina,Manavgat,902427531567,Marina Restaurant Selimiye Mahallesi no80
Mersin (İçel),Memoş Tantuni,Mersin,2372098,"Silifke Cad. Çavuşoğlu Apt. No:152/D Akdeniz, Akdeniz"
Hatay İli,Gungor Restaurant,Kızkalesi,0324 523-2122,Belediye Cad. No: 1
Antalya İli,Big yellow Taxi benzin cafe konyaaltı,Antalya,242 2280110,"Gursu Mh., Akdeniz Blv No:184, konyaaltı"
Antalya İli,otantik restaurant,Kalkan,905357068600,"Old Town, The White Mosque"
Antalya İli,Maldan Restaurant,Antalya,+90 532 337 2499,Alanya kale yolu Caddesi NO:93
Antalya İli,55 Samsun Pide & Pizza,Antalya,2427254453,Yeni Mah. 15.Sk. No:1/A Kadriye Beldesi
Antalya İli,Lokanta Su,Alanya,+90 242 512 1500,Damlataş Cad. NO: 20
Antalya İli,Paparazzi Restaurant,Kalkan,844 3360,Yaliboyu Mah. Ibrahim Arizoz Apart No. 7
Antalya İli,Q Beach Club,Manavgat,+(90)5323043453,Evrenseki Beach Park
Antalya İli,Kaptan's Guverte,Alanya,"
","Harbour, Alanya"
Hatay İli,Sultan Sofrası,Antakya,"
",İstiklal Cad. 20A
Antalya İli,Bistro Miami,Alanya,00905419203301,Cumhuriyet Hali Saha Yani Demirag Elit Apartmani Alti no9c
Antalya İli,Galeria Gurme Restaurant,Alanya,+(90)242 514 16 46,Obagol Mh. Atilla Cad. Hacioglu Apt Alti Alanya-Turkiye
Antalya İli,Ora Kebap Restoran,Antalya,+90 8363566,"Merkez Mah. Liman Cad. No:6 Kaş Merkez, Kaş"
Antalya İli,Piraye Meyhane Restoran,Kaş,+(90)5367870044,Ibrahim Serin Cad. No13 Kas
Adana İli,Öz Asmaaltı Kebap Salonu,Adana,0322 351 4028,Koca Vezir Mah. Pazarlar Cad. No:11
Antalya İli,Flash,Alanya,5110575 & 511 4220,Guller Pinari Mah. Hacet Cad. Akay Apt. No. 32/A
Antalya İli,Osmanli Restaurant,Manavgat,902427533436,Selimiye Mah.
Antalya İli,Little Hawaii,Alanya,242 514 41 24,oba.Mah.Fatih cd.26.sk. Kosmaz apt.B.Blok No:4/A
Antalya İli,Nezi's Kitchen,Kaş,9002428361634,Çukurbaglar Sokak
Mersin (İçel),Asina Restaurant,Mezitli,(324)3599096-3590056,Fatih Mah. Adnan Menderes Bulv. No:24
Antalya İli,Sushico,Antalya,0242 324 40 24,Fener Mah. Fener Cad. Fener İş Merkezi B Blok No: 11
Antalya İli,Gratzi,Alanya,(242)511-9795,Atatürk Caddesi No 186
Antalya İli,Elit Cafe and Beach,Kaş,902428361271, 
Antalya İli,L Ancora A la Carte Restaurant,Belek,7100600,Acisu Mevki Gloria Golf Resort
Antalya İli,TanZore,Kalkan,242 844 3003,Mosque Street
Mersin (İçel),Yeni Ada Kebap Salonu,Tarsus,6242003,Kızıl Murat Mah. Mersin Cad. No:11/A
Antalya İli,Çınaraltı Cafe & Bistro,Kaş,+(90)5318993311,UzunCarsi Sokak
Antalya İli,More Coffees,Kemer,+90 242 814 6222,yalı caddesi
Antalya İli,Emir Pansion Bistro Cafe,Manavgat,2427534859,"Antik Side ,Leylak Sk"
Antalya İli,Grand Cru Restaurant and Wine House,Alanya,+90 242 514 09 78,Dim cayı yolu
Antalya İli,KofteDkofte,Alanya,5121270,Carsi Mah. Kale Yolu
Antalya İli,Ali Baba Restaurant,Çolaklı,5653381,Bacaoglu Is Hani
Antalya İli,White n White Beach Club Restaurant,Alanya,5079649292,cumhuriyet mah. banana otel onu
Antalya İli,Rose Restaurant,Kalkan,+90 242 844 2534,Mentese Mah
Antalya İli,Yörük Parkı,Kemer,+90 242 814 1777,07980
Antalya İli,Insaat Cafe,Antalya,02422466546,Kilicaslan Mah. Tahakhane Sok No 6/1
Mersin (İçel),Iskele Et Balik,Mersin,0 (324) 330 00 55 - 56,Mersin Marin / Egricam
Antalya İli,Begonia Restaurant,Alanya,905074577477,Obagol Mevkii
Antalya İli,Adar Balık Evi,Antalya,0242 228 49 49,Kuşkavağı Mah. Akdeniz Bulv.No:158 Konyaaltı/ANTALYA
Mersin (İçel),Unluoglu & Cici Mersin,Mersin,+90 (0) 324 331 57 31,A Blok GF 29A
Antalya İli,Patara Gözleme Evi,Patara,+90 535 746 9573, 
Antalya İli,Cafe Mai,Alanya,242 519 0332,Iskele Caddesi 68
Antalya İli,PIYAZCI MUSTAFA,Antalya,242 2422994,Ismetpasa Caddesi 6/C Ptt Yani
Antalya İli,Dolphin Fish Restaurant,Kemer,824 5151,Uzun Cinar Mah. Turizm Bulv. Fantasia Hotel De Luxe Camyuva
Adana İli,Birbiçer Kebap Salonu,Adana,(0322) 365 1444,Bakımyurdu Cad. No: 63/A
Antalya İli,Gusto Lounge,Kalkan,+(90)2428441188,Yalıboyu Mah.Iskele Sok.No:33
Antalya İli,Orange Restaurant,Kemer,8257293,Çıralı Mevki Ulupınar Köyü
Antalya İli,Mahmut's Restaurant,Kalkan,90 242 838 6344 ,İslamlar Köyü
Antalya İli,Alp Paşa Restaurant,Antalya,90 242 2475676,Barbaros Mah Hesapci Sok. No:30 Kaleici
Antalya İli,Koreli Restaurant,Kumluca,242 73 28 78-79,Kazim Karabekir Cad. No. 54
Antalya İli,Robert's Coffee,Mahmutlar,"
",Mahmutlar Mah. Barbaros Cad. No: 92 a-E Alanya
Antalya İli,Doy Doy Kalkan Turkey,Kalkan,02428442441,Yalimani No 5
Antalya İli,Ev Restaurant,Alanya,902425111051,Ataturk Cad. No:8
Adana İli,Onbaşılar,Adana,2150000,Karslı Mah. Yse Cad. 82046 Sok. No:3/A
Antalya İli,Cuba Bar,Manavgat,+90 242 753 2149,Zambak SK. NO 2 Side/ Manavgat / Antalya
Antalya İli,Aubergine Restaurant,Çıralı,905305223814,Çıralı Sokak
Antalya İli,Zirve Restaurant,Alanya,+90 242 522 4500,"Tepe Mahallesi, Tepe Caddesi Zirve Restaurant"
Antalya İli,Adam and Eve,Kalkan,2428442545,Kalamar Road
Antalya İli,Pinarbasi Terrace Restaurant,Kalkan,+90 (242) 8386222,İslamlar Köyü
Antalya İli,Caglayan Restaurant,Kemer,8250112,Ulupinar Koyu Merkez Mah.
Antalya İli,Kaş Diva Residence Hotel Restoran,Kaş,0090 242 836 4255,Ibrahim Cingay sk. No7 Yarimada
Antalya İli,Sultanyar Kebapçısı,Antalya,3238863,"Şirinyalı Mah. Tekelioğlu Cad. No:158 D:6/A Fener, Muratpaşa"
Antalya İli,Sammy's Place,Alanya,0530 921 8364,Turkmenbasi Cad
Antalya İli,Guney Pide & Kebap,Manavgat,02427532223,Kemer Mah. Fatih Sultan Mehmet Bulv. No 47
Antalya İli,Salt and Pepper,Kalkan,242 844 14 45,Atatürk St.Yat Limanı
Antalya İli,Gardners Bar And Cafe,Serik,+90 242 715 3202,Belek
Antalya İli,Dimcayi Pinarbasi Alabalik Restaurant,Alanya,5182404,Kestel Kasabasi Dimcayi Mevki
Antalya İli,LeGrille,Alanya,00905495111177,oba
Antalya İli,HAYTA MEYHANE,Kaş,+90 242 836 3776,Zumrut sokak No:5
Antalya İli,Sunset Resturant & Bar,Antalya,"
",Sokak Side Star Hotel
Antalya İli,Big Chef,Antalya,"
",Fener Mahallesi 307/2
Antalya İli,Picasso Restaurant,Alanya,+90 242 512 9515,"Saray Mahalllesi, Sirenevler Sok No:12"
Antalya İli,Green River Restaurant,Alanya,90 242 511 7537,Ahmet Tokus Bulvari 118B
Antalya İli,Apollonik,Manavgat,5349596509,seylmiyeMth
Antalya İli,TADIM Restaurant,Mahmutlar,+90 531 086 5007,Selahattin Yaman Caddesi
Antalya İli,L'amante Restaurant,Belek,7102000,Ileribasi Mevki Rixos Premium Belek
Adana İli,Maki Restaurant Gazipaşa,Adana,+(90)3224583334,Cemal Paşa Mahallesi Vali Yolu Caddesi
Antalya İli,Aynalı,Antalya, 0242 2439978,Selçuk Mah. Kaleiçi Yat limanı Tuzkapısı Sokak No:7
Antalya İli,Emir,Manavgat,05388307100,Menekse caddesi
Antalya İli,Elite restaurant,Alanya,"
",Guzelyali Caddessi
Antalya İli,Fantasia Beach Bar- Restaurant,Manavgat,5362475101,Side Boulevar
Antalya İli,Navigator Restoran,Kemer,(0242) 814 1490 ,Kemer Turkiz Marina
Antalya İli,Remember me Restaurant & Bar,Alanya,+90 546 229 3073,Obagol Mah. Hacikadiroglu Cad. No:4 a/b
Antalya İli,Place of Huseyin,Kalkan,905353466241,Islamlar
Antalya İli,Hawaii,Manavgat,"
","Cennetler mevkii, Selimiye mahallesi"
Antalya İli,Coast Restaurant,Kalkan,+90 242 844 1480,Yali Boyu Street 47
Antalya İli,SHANTY BEACH BAR,Manavgat,+90 545 782 0707,Side mahallesi 620 Sokak No:8 SİDE MANAVGAT
Antalya İli,kaş'ım pide ve ev yemekleri,Kaş,+90 242 836 2052,Caddesi Ozturk Sk. No.15
Antalya İli,MY Dream Restaurant Side,Manavgat,5066098994,Adnan Menderes Bulvari Side Mahallesi
Antalya İli,Club Arma,Antalya,2449710,"Selcuk Mahallesi, Kaleici Yat Limani"
Antalya İli,Lemon Restaurant,Çıralı,+90 242 825 72 16,Cirali Village
Antalya İli,Kasif restaurant,Alanya,+90 242 511 0293,"Saray Mahallesi, Oral Sokak No 15"
Antalya İli,Bi Lokma Restaurant,Kaş,836 3942,Hukumet Cad. No. 2
Antalya İli,La Luna,Alanya,+90 242 5136179,Izzet Azakoğlu Cad. No:12
Antalya İli,Qualista Lounge,Kemer,+(90)5336895889,Merkez Mah. Yali Cad. No:5/A
Antalya İli,Britannia,Manavgat,0095364302075,Yali Mah
Antalya İli,Eden British Family Bar,Alanya,+90 539 718 5016,18. Sk No:36
Antalya İli,Filika Garden,Alanya,"
","Ataturk Bulvari / guzelyali caddesi, alanya"
Antalya İli,Bistro Mango Restorant Bar,Alanya,+(90)5327456297,"Sekerhane Mahallesi, Hayate Hanim Caddesi , No 2303"
Antalya İli,Mythos Restaurant,Belek,7100500,Ileribasi Mevki Gloria Verde Resort
Antalya İli,Kemer La luna Restaurant,Antalya,+(90)2428144619,Merkez Mah. 110 Sok. No:16 Kemer
Antalya İli,Acıktım Köfte Kalkan,Kalkan,+90 242 844 2796,Mentese Mah. Kadife Sok.No: 5
Antalya İli,Ikbal,Kaş,242/836-3193 ,Suleyman Sandikci Sokak 6
Antalya İli,Wine River Resturant,Alanya,+90 530 552 0747,"Obagöl Mevki Mesut Cad. No:2, Alanya Merkez"
Antalya İli,CHEERS BAR-RESTAURANT-SIDE-TURKEY,Kumköy,5326332942,yalI mahallesi inonu bulvarI yIldIz motel no 3
Antalya İli,Akdeniz Restaurant,Kalkan,02428442859,off New Kalamar Road
Antalya İli,Nar Beach Bistro,Antalya,902422476868,Konyaaltı Caddesi Atatürk Parkı
Antalya İli,Paradise Restaurant,Antalya,243 5960 ,Selcuk Mah. Merdivenli Sok. No.13
Antalya İli,Kuytu Cafe Bar,Kaş,90 242 836 24 88,Ilkokul Sokak no :1
Antalya İli,KARMA Restaurant & Sky Lounge,Manavgat,+90 531 696 5688,Turgut Reis Cad. no:60 at The Harbour
Antalya İli,Harmonie,Manavgat,905342278880,Beach
Antalya İli,Anis,Antalya,+90-534-787-9978,2 Inonu Cad
Antalya İli,Astoria Hotel Restaurant,Kemer,8147397,Kavakli Cad. Astoria Hotel No:3
Antalya İli,Korner Bar,Manavgat,"
",Fatih Sultan Mehmet Bulvari
Antalya İli,Sefin Yeri Restaurant,Serik,+90 242 7255395 ,Suleyman Demirel Cad.
Antalya İli,Roman Bar,Belek,242 725 53 63,Cumhuriyet Caddesi
Antalya İli,La Filika,Manavgat,242 753 21 11,Yali Mah. 1089 Sok
Antalya İli,Black and Gold,Kalkan,00905312405833,Yaliboyu mah. Ataturk Cad 4. Sk. No:2/A Kalkan Antalya
Antalya İli,Yosun Resturant and Bar,Alanya,+90 537 250 5372,Dalmataş Str.No 69/A
Antalya İli,Guru'nun Yeri,Kalkan,+90 536 331 1016,Kalkan Kas road
Antalya İli,The Allaturca Restaurant,Manavgat,902427536777,Fatih Sultan Mehmet Bulvari
Antalya İli,Şako Restaurant,Kaş,+90 242 836 3055,"Suleyman Sandikci Sokak, No:3"
Antalya İli,Smiley's Restaurant,Kaş,555.3561863,Yat Limani
Antalya İli,Asian Kitchen & Cafe EN,Antalya,+90 242 224 0096,genclik mh. Isiklar cd. 45/B
Antalya İli,Bistro 2000 Restaurant & Sports Bar,Kumköy,+90 242 756 0091+90 242 756 0091,"Ilica Mahallesi, Sahil Caddesi No:1"
Antalya İli,Belgin's Kitchen,Kalkan,0242 844 3614,Yali Boyu No. 1
Antalya İli,Trio Restaurant & Cocktail Bar,Kalkan,242 844 33 80,Kalkan Marina
Antalya İli,La Terrazza,Kalkan,844 2613,Yalıboyu Mah. Atatürk Cad. No: 70
Antalya İli,Forellenhof Goynuk Fish & Steak House,Kemer,+90 554 602 5789,Göynük mah. GMK Caddesi 101.sok No:2
Antalya İli,Dedikodu Garden Coffee House,Kaş,+(90)05326048569,Gursoy Sok No:8-Ab
Antalya İli,CASTLE CAFE BAR i,Antalya,"
",Antalya'nin merkezi Kaleicinde bulunan bu mekandaki 4
Antalya İli,Little Norway Resturant and Bar,Manavgat,05333660632,Fatih Sultan Mehmet Bulvary 61
Antalya İli,Kale Panorama Restaurant,Alanya,02425126282,Kale Yolu
Antalya İli,Anadolu Park Restaurant,Antalya,426 2400,"Serik Caddesi, Konak Mahallesi"
Antalya İli,Monte Kemer Restaurant,Kemer,+902428144577,Merkez mah. 125 sok. No:58
Antalya İli,Bistro Plus Restaurant & Cafe Bar,Alanya,(+90) 242 512 16 36,Saray Mah.Güzelyali Cad. No:16/B
Antalya İli,Sun Restaurant Cafe&Bar,Alanya,532 440 5991,Gullerpinari Mah. Ahmet Tokus Bulvari. No:24
Antalya İli,Otantik Butik Otel & Restaurant,Antalya,90-242-2448530,Barbaros mahallesi Hesapci sokak no 14
Adana İli,Ege Balık Adana,Adana,00903222260343,Yeni Baraj Mah 68012 Sok Damla Sit No:5
Antalya İli,Ship Inn Restaurant,Antalya,+90 242 238 5235,"Meltem Mahallesi, Dumlupinar Bulvari"
Antalya İli,Cello Turku Bar Alanya,Alanya,"
",Bostancipinari Cd
Antalya İli,Cafe 7,Kaş,+905318411401,Suleyman Topcu Sokak No:20
Antalya İli,Arkadas Alabalik Restaurant,Antalya,0242 361 0165,Habibler Mh. 5632
