sehir,isim,ilce,adres
Muğla İli,"
Aes Club Hotel
",Ovacık,59 Sok No: 1
Çanakkale İli Seyahat,"
Tusan Hotel
",Çanakkale,"Güzelyalı Köyü İntepe, Çanakkale Merkez"
Muğla İli,"
Seler Hotel
",Marmaris,Sirinyer Mahkraranfil SOK 26
Muğla İli,"
Efendi Hotel
",İçmeler,Cumhuriyet Mah. Kenan Evren Bulv. No 22
İzmir İli,"
Rainbow Otel
",Çeşme,Çevre Yolu Akarca Kavşağı Çeşme Merkez
İzmir İli,"
Alya Pansiyon
",İzmir,"Sirince Mahallesi, 1.sokak, No:23, Selcuk , Izmir"
Muğla İli,"
Mignonne
",Dalyan,"Okcular Koyu Yenimahalle No: 298 Ortaca, Mugla"
Muğla İli,"
Luna Begonvil Orhaniye Bungalovlar
",Marmaris,Keci Buku Mevkii Kizkumu Orhaniye Koyu
Çanakkale İli Seyahat,"
Öktem Motel
",Assos,"Büyük Kuyu Mevki Assos, Ayvacık"
İzmir İli,"
Pollen Tatil Köyü
",Yenifoça,"Çanak Koyu Mevki Yenifoça Yolu 7. Km. Yenifoça, Foça"
Muğla İli,"
Blacktree Farm and Cottages
",Fethiye,Karaagac Koyu - Esen - Fethiye
Çanakkale İli Seyahat,"
Kestanbol Kaplicalari
",Çanakkale,"Koruktasi Koyu Tavakli Iskelesi yolu Ezine, Fıranlı"
İzmir İli,"
Gönülhan otel
",Çeşme,Yeni Mecidiye Mahallesi 2055 Sokak No 27
Muğla İli,"
Ora Tatil Koyu
",Bodrum,Torba Mah. Kaynar Cad. No: 4
Muğla İli,"
Serdar Hotel
",Bodrum,Kucukbuk Mahallesi Gundogan
İzmir İli,"
Dalyan Residence & Suites
",Çeşme,4227 Sokak No: 26
Muğla İli,"
Julian Forest Suites
",İçmeler,Gölenye Mah. Halide Edip Adıvar Cad. 182. Sok
Muğla İli,"
Hotel Zeytinada
",Bodrum,Torba Mevki Bodrum Merkez
Muğla İli,"
Maris Beach Otel
",Marmaris,Siteler Mah. 207 Sok. No:102
Muğla İli,"
Grand Levent Hotel
",Bodrum,Yahşi Yalısı No:202
Muğla İli,"
Thermemaris Spa & Thermal Hotel
",Dalaman,İncebel Mevki
Muğla İli,"
Marphe Hotel Suites & Villas
",Datça,İskele Mah. Onuncu Cad. No:34 Datça Merkez
Muğla İli,"
Hotel Letoon
",Fethiye,Foça Mah. Fethiye Merkez
Muğla İli,"
Grand Cettia Otel
",Marmaris,Şehit Ahmet Benler Cad. No:97
Çanakkale İli Seyahat,"
Albena Club Hotel
",Assos,Kadırga Koyu Behramkale Köyü
Muğla İli,"
Salinas Beach Hotel
",Bodrum,Asarlık Mevki Metin Akman Sok. No:1 Bodrum Merkez
Muğla İli,"
Onura Tatil Köyü
",Bodrum,Torba Mah. Kaynar Mevki Bodrum Merkez
Aydın İli,"
Ponz Boutique Hotel
",Kuşadası,Kadınlar Denizi Mah. Celal Atik Sok. No:15
Muğla İli,"
Rosary Beach Hotel
",Fethiye,Foca Mah. 1054 Sok. No:70 Calis Plaji Fethiye
Muğla İli,"
Omar Hotel
",Bodrum,Ataturk Cd
Muğla İli,"
Flamingo Hotel
",Ölüdeniz,Oludeniz Caddesi
Çanakkale İli Seyahat,"
Uzum Hotel
",Bozcaada,Capraz Mevkii 28
Muğla İli,"
Summer Garden Apart Hotel
",Bodrum,Pomelan Caddesi No 15
Muğla İli,"
Club Hotel Zemda
",Bodrum,Karakaya Mah. Çayıraltı Mevki
Çanakkale İli Seyahat,"
Hotel Artur
",Çanakkale,Cumhuriyet Meydanı No:28 Çanakkale Merkez
Muğla İli,"
Hotel Morina
",Ölüdeniz,Belcegiz Mah.
Muğla İli,"
Alibey Butik Hotel
",Marmaris,Siteler Mah. 207 Sokak No:146 Marmaris Merkez
Muğla İli,"
Cactus Mirage Family Club
",Bodrum,Tilkicik Koyu
Muğla İli,"
Alinn Butik Hotel
",Sarıgerme,Merkez Sarıgerme Köyü
Muğla İli,"
Ideal Prime Beach
",Marmaris,Siteler Mah. Kenan Evren Bulv. Marmaris Merkez
İzmir İli,"
Tempo Residence Comfort
",İzmir,"Gaziler Cad. No:206 Basmane, Konak"
Muğla İli,"
Hotel Greenland
",Ölüdeniz,Hastane Mevki Gökçeovacık Köyü
Muğla İli,"
Serhan Hotel
",Bodrum,Plaj Sokak 22
Balıkesir İli,"
Sizma Han
",Ayvalık,Gümrük Cad. 2. Sok. No 49
Çanakkale İli Seyahat,"
Assosyal Otel
",Assos,Alan Meydanı No:8
Çanakkale İli Seyahat,"
Hotel Kum
",Eceabat,Kabatepe Kum Limanı Mevki Eceabat Merkez
Muğla İli,"
Kalemci Hotel
",Marmaris,Kemal Seyfettin Elgin bulvari No:73
Muğla İli,"
Seray Class Apartments
",Bodrum,Adnan Menderes Caddesi Zegin Huseyin Sokak No 20
İzmir İli,"
Griffon Butik Hotel
",Yenifoça,Atatürk Mah. Fabrika Sok. No:2
Muğla İli,"
Gocek Arion Hotel
",Göcek,Cumhuriyet Mahallesi Guz Sokak No 13
Muğla İli,"
Vela Hotel Icmeler
",İçmeler,Cumhuriyet Mah. Kenan Evren Blv. No:11
İzmir İli,"
Moy Otel Alacati
",Çeşme,Haci Memis Mah. 2070 Sok No. 29
Muğla İli,"
Sunhill Hotel
",Bodrum,Eski Çeşme Mahallesi Kemal Kayacan Caddesi No 28
Muğla İli,"
Nagi Beach Hotel
",Bodrum,Ayaz cad no: 10
Muğla İli,"
Lvzz Otel
",Bodrum,Yokusbasi Mahallesi Akdeniz Caddesi No: 4
Muğla İli,"
Bodrum Queen Resort
",Bodrum,Gumbet Mah. Adnan Menderes Sok. No:46
Muğla İli,"
Sunshine Holiday Resort
",Ovacık,Kocapirnal Cad 3
Muğla İli,"
Hotel Caria Royal
",Dalyan,Maras Mahallesi Ozalp Sok No 4
Muğla İli,"
Portakal Otel
",Dalyan,Maraş Mah
İzmir İli,"
BEST WESTERN PLUS Cesme Hotel
",Çeşme,Fahrettin Paşa Mahallesi 2303 sokak no:5
Muğla İli,"
Hotel Ambrosia
",Bodrum,Hacı Ahmetler Mevki
Muğla İli,"
Tropikal Hotel
",Marmaris,Kenan Evren Bulvarı No:49 Marmaris / Muğla
İzmir İli,"
Alaçatı LuCe Design Hotel-Special Category
",Çeşme,Inonu Caddesi Yenimecidiye Mah. No:49
Muğla İli,"
Hotel La Rosa
",Bodrum,Mujde sokak No 41
Aydın İli,"
Vista Hill
",Kuşadası,Yavansu Mah. Suleyman Demirel Blv. No:154
İzmir İli,"
Kamer Suite & Hotel
",Çeşme,Üniversite Mah. 4258 Sok. No:1 Çeşme Merkez
Muğla İli,"
Club Hotel Flora
",Bodrum,Gümbet Mah. Dayılar Sok. Bodrum Merkez
İzmir İli,"
Artemis Hotel
",Selçuk,"Ataturk Mah, 1012 Sok No 2"
İzmir İli,"
Otel Samyeli
",Çandarlı,Barbaros Mah. Sahil Plaj Cad. No:1
Balıkesir İli,"
Lapeistra
",Edremit,CamlIbel koyu No:38 (Kaz DaglarI) Gure/Edremit
Balıkesir İli,"
Cunda Mavi Otel
",Balıkesir,Mithatpasa mah. Mevlana Cad. no: 31 Alibey adasi Ayvalik
Muğla İli,"
Ada Pansiyon
",Datça,Mesudiye Köyü Ovabükü Mah. Datça Merkez
Çanakkale İli Seyahat,"
Aya Yorgi Lodge
",Bozcaada,Cumhuriyet mah. Atatürk Cad. No.23
Balıkesir İli,"
Alibey Han Hotel
",Ayvalık,Namik Kemal Mah.Selamet Cad.2.Cayirsok. Araligi Alibey Adasi AYVALIK
Muğla İli,"
Tree Houses
",Faralya,Faralya Kabak Koyu
Muğla İli,"
Hotel Cypriot
",Ölüdeniz,Ataturk Cad. 112 Sok. No 5
Muğla İli,"
İlkiz Beach Hotel
",Ölüdeniz,Belceğiz Mevki
Muğla İli,"
Orkide Hotel
",Bodrum,Yalı Mevki Göltürkbükü
Muğla İli,"
Victoria'S
",Bodrum,"Cukurbuk 1396 sokak, No:4"
Muğla İli,"
Tavilogullari Villa Apart
",Dalyan,Maras Mahallesi Sulungur sokak no 30
Balıkesir İli,"
Ayışığı Pansiyon
",Ayvalık,"Namık Kemal Mah. Selamet Cad. No:33 Alibeyadası, Ayvalık"
Muğla İli,"
Coban Pansiyon
",Selimiye,Selimiye Koyu Sigilman Mahallesi
Aydın İli,"
Rose Garden Boutique Hotel
",Didim,Akbuk Mah. 2037 Sok. No:5 Didim
Balıkesir İli,"
Yasemin Otel
",Ocaklar,Sahil Yolu
İzmir İli,"
Casa De Playa Luxury Hotel
",Çeşme,Universite Mahallesi 4600 Sokak
Aydın İli,"
Ephesus Lodge
",Kuşadası,Kirazli Village No:424
Muğla İli,"
Tugay Hotel
",Fethiye,Merkez Mah. 1049 Sok.
Muğla İli,"
Cocos The Club
",Bodrum,Kargi Koyu
Muğla İli,"
Alize Otel
",Ölüdeniz,Kıdrak Caddesi
Muğla İli,"
Hotel Karia Princess
",Bodrum,Eskiçeşme Mah. Myndos Cad. No:8 Bodrum Merkez
Aydın İli,"
Emre Apart
",Didim,Altınkum Mah. Karakol Cad. No:29
Muğla İli,"
Casa Dell'Arte
",Bodrum,"Torba Mahallesi, Inonu Caddesi No. 66"
Muğla İli,"
Club Viva Hotel
",Marmaris,Adnan Menderes BulvarI Armutalan
Aydın İli,"
Martı Beach Otel
",Kuşadası,Kadınlar Denizi Cad. No:71 Kuşadası Merkez
İzmir İli,"
Oğlakçıoğlu Park Hotel
",İzmir,"1366 Sok. No:6 Basmane, Konak"
Muğla İli,"
Otel Mare
",Datça,İskele Mah. Hürriyet Cad. No:29 Datça Merkez
Muğla İli,"
Costa Farilya Special Class Hotel
",Bodrum,Gündoğan Plajı Yalı Mevki No:62
Muğla İli,"
Puravida Resort Seno Sarigerme
",Sarıgerme,Babadag Mevkii Osmaniye Koyu
Muğla İli,"
Ece Saray Marina & Resort
",Fethiye,1. Karagözler Mevki No:1 Fethiye Merkez
Muğla İli,"
Doada Hotel
",Datça,Iskele Mah. Liman Mevkii Osman Akkaraca Sok. No 30
İzmir İli,"
Ephesus Princess
",Selçuk,Rumeli Cad No 16/6
Muğla İli,"
Bodrum Imperial
",Bodrum,Baglo Koyu
Çanakkale İli Seyahat,"
Ataol Hotel
",Bozcaada,Alaybey Mah. Namazgah Meydani No: 19
Aydın İli,"
Sentinus Beach Hotel
",Kuşadası,Ilıca Mevkii Karaova Mah. No 14
Çanakkale İli Seyahat,"
Buyuk Truva Oteli
",Çanakkale,Cevat Paşa Mah. Mehmet Akif Ersoy Cad. No 2
Muğla İli,"
Med-Inn Boutique Hotel
",Milas,Atatürk Mah. Sıralık Cad. No:6 Güllük
Muğla İli,"
Robinson Club Sarigerme Park
",Ortaca,Sarigerme
Muğla İli,"
Highligt Hotel
",Bodrum,Gökçebel Mah. Tilkicik Cad. 182. Sok. No:3
Muğla İli,"
Musti's Royal Plaza
",Marmaris,Sinan Mahallesi Inonu
Muğla İli,"
Caria Premium Hotel
",Dalyan,Maras Mah.Yali Sok No:7
Muğla İli,"
RED Hotel
",Ölüdeniz,"Oludeniz Beldesi Hisaronu Mah.,Cumhuriyet Cad."
Muğla İli,"
Mirage World Resort Hotel
",İçmeler,Kayabal Cad 82
İzmir İli,"
Mandalin Pansiyon
",Seferihisar,Sigacik Kaleici 130.Sokak No2. Sigacik
Balıkesir İli,"
Kaptan Otel
",Ayvalık,Balıkhane Sok. No:7
Muğla İli,"
Temenos Hotel
",Bodrum,Uzun Sok. No:12A
Aydın İli,"
Golden Gate Apart Hotel
",Kuşadası,Kadinlar Denizi Cad
Muğla İli,"
Flora Hotel
",Köyceğiz,Ulu Cami Mah. Cengiz Topel Cad. No:96 Köyceğiz
Muğla İli,"
Su Hotel
",Bodrum,Turgutreis Cad.1201
İzmir İli,"
Hotel Dogan Paradise Beach
",Özdere,Farabi Sokak
Muğla İli,"
Can Hotel
",Bodrum,Sakir Esendemir Sok. No:58
Muğla İli,"
Konak Tuncel Efe
",Datça,Iskele Mahallesi Ataturk Caddesi No:55
Muğla İli,"
Golmar Beach Hotel
",İçmeler,Kayabal Cad 93
Muğla İli,"
Kaunos Hotel
",Köyceğiz,Ulu Camii Mah. Cengiz Topel Cad. No 29 Köyceğiz Merkez
Çanakkale İli Seyahat,"
Anzac Hotel
",Çanakkale,Saat Kulesi Meydani 8
Muğla İli,"
La Boutique Alkoçlar
",Bodrum,Torba Mah. Hoşgörü Sok. No:1
Muğla İli,"
Cle Seaside Hotel
",Marmaris,Kemal Elgin Bulvari 238 sok.
Muğla İli,"
Flora Palm Resort
",Fethiye,Hisarönü Mahallesi Ölüdeniz Beldesi
İzmir İli,"
Alaçatı Marina Palace
",Çeşme,Liman Mevki 8000. Sok. No:39
Çanakkale İli Seyahat,"
Kolin Hotel
",Çanakkale,"Boğazkent Mevki Kepez, Çanakkale Merkez"
Çanakkale İli Seyahat,"
Mitos Hotel
",Bozcaada,Cumhuriyet Mah. Merdivenli Sok. No 11
Muğla İli,"
Sundance Suites Hotel
",Bodrum,Bahçelievler Mah.
Muğla İli,"
Luvi Hotel
",Bodrum,Gümbet Mah. Adnan Menderes Cad. Mustafa Kaşif Ertekin Sok. No:10
Muğla İli,"
Dilekağacı Otel
",Bodrum,Yahşi Mah. Yalı Cad. No:58
Balıkesir İli,"
Taş Bahçe Butik Otel
",Ayvalık,"Namık Kemal Mah. 15 Eylül Cad. No:33 D:1 Alibeyadası, Ayvalık"
Muğla İli,"
L'Etoile Hotel
",İçmeler,Kenan Evren Bulvari No 31
Muğla İli,"
Yat Butik Otel
",Fethiye,1. Karagözler Mevki Fevzi Çakmak Cad. No:14 Fethiye Merkez
İzmir İli,"
Ibis Izmir Alsancak
",İzmir,Ataturk Caddesi No 404 410
Balıkesir İli,"
Grand Asya Hotel
",Bandırma,17 Eylul Mah. Ataturk Cad. No: 86
İzmir İli,"
Beyaz Ev Hotel
",Çeşme,Tokoglu mah.1047 sokak no:12
Muğla İli,"
Siler Otel
",Milas,Milas
Muğla İli,"
Otel Eroğlu
",Fethiye,Cezayirli Hasan Paşa Cad. İnönü Bulv. No:6 Fethiye Merkez
Muğla İli,"
Cenk Bey Hotel
",Fethiye,Calis Beach Area
İzmir İli,"
Nergis Misafir Evi Butik Hotel
",Çeşme,"Haci Memis Mah, 2001 SK. NO:40"
Çanakkale İli Seyahat,"
Bagbadem Holiday House
",Bozcaada,Alaybey Mah. Arabacı Mevki
Çanakkale İli Seyahat,"
Mavi Su Resort Otel
",Gökçeada,Uğurlu Köyü Mevki
Muğla İli,"
Yunus Hotel
",Ovacık,Stad Caddesi Saglık Ocagı Yanı No 6
Muğla İli,"
Club Verano Hotel
",Marmaris,Kumlubük Mevki Osmaniye Köyü
Muğla İli,"
Swissotel Resort Bodrum Beach
",Bodrum,"Mahallesi, Gazi Mustafa Kemal Bulvarı 42"
Muğla İli,"
Viras Hotel - Restaurant
",Bodrum,Ortakent Yahsi YalIsI No 72
Muğla İli,"
Apollonium Spa & Beach Resort
",Milas,Bozbuk Bay
Muğla İli,"
JDW Design Hotel
",Marmaris,Merkez Siteler Mah. 238.Sokak No:3
Muğla İli,"
Aydem Hotel
",Bodrum,Mahallesi Bahcelievler Caddesi NO : 139
İzmir İli,"
Orty Airport Otel
",İzmir,"İzmir Adnan Menderes Havalimanı Girisi, Gaziemir"
Muğla İli,"
Telmessos Hotel
",Ölüdeniz,Hisaronu Mevki No 4
Muğla İli,"
SENTIDO Sea Star Hotel
",İçmeler,Cumhuriyet Mah. Ataturk Cad.no:46
İzmir İli,"
Angora Beach Resort
",Seferihisar,Payamlı Mah. Deniz Cad. No:2
Muğla İli,"
Çökertme Butik Otel
",Ören,Çökertme Köyü
Muğla İli,"
Asmin Hotel
",Bodrum,Çarşı Mah. Türk Kuyusu Cad. Ali Baba Sok. No:9 Bodrum Merkez
Aydın İli,"
Hotel Nazar
",Didim,Altinkum Mahallesi 5 Sok No 10
Muğla İli,"
Dalyan Doga Hotel
",Dalyan,Gulpinar Mahallesi Gulpinar Cad. No:31
Muğla İli,"
Mandalinci Beach Hotel
",Bodrum,Bahçelievler Mah. Belediye Cad. No:19 D:1
Muğla İli,"
St Nicholas Park
",Ölüdeniz,Hisaronu mah.
Muğla İli,"
Efe Hotel Gocek
",Göcek,Cumhuriyet Mahallesi Likya Cad. No 1
Muğla İli,"
Remer Hotel
",Fethiye,Foca Mah. Cahit Begenc Bul No 19 Calis Plaji
Muğla İli,"
Munamar Beach Hotel
",İçmeler,Kayabal Cad. No:69
Muğla İli,"
Oyster Residences
",Ölüdeniz,Belen Mah. Belcekız Mevki 1. Sok
Aydın İli,"
Hotel Akbulut & Spa
",Güzelçamlı,Atatürk Mah. Millipark Cad. No:47
İzmir İli,"
Kaya Izmir Thermal & Convention
",İzmir,"Ilica Mah. Zeytin Sokak, No : 112"
Çanakkale İli Seyahat,"
Hotel Helen Park
",Çanakkale,Kemalpasa Mah. Tekke Sokak #10
Çanakkale İli Seyahat,"
Mira Otel
",Bozcaada,Tekirbahce Mevki Tuzburnu Yolu No 2
Muğla İli,"
Forever Club
",Bodrum,İçmeler Mevki Atatürk Cad. No:133 Bodrum Merkez
Muğla İli,"
Melisa Pansiyon
",Faralya,Hisar Mah.8
Balıkesir İli,"
Ayvalik Konak Pansiyon
",Ayvalık,Hamdibey Mah. Dalkiran Mehmet Aga Cad. No: 6
Muğla İli,"
Mulberry Tree Otel
",Marmaris,Turgut Köy Turgut Köyü
Balıkesir İli,"
Mai Pension
",Cunda Island,Namik Kemal Mah. Ali Cetinkaya Meydanı No. 10
Muğla İli,"
Ramos Hotel
",Ölüdeniz,Ovacık Mah
Muğla İli,"
Nursu Apart
",Bodrum,Bitez Mah. İrme Sok.
Muğla İli,"
Begovina Motel
",Marmaris,Deniz Azmak Mevki Selimiye Köyü
Muğla İli,"
Elia Beach Apart
",Bodrum,Yahsi Mahalesi Yali Cad. 78
Muğla İli,"
Yalım Pansiyon
",Datça,Hayıtbükü Mesudye Köyü
İzmir İli,"
Suena Hotel
",Çeşme,4223 Sok. No: 10 Dalyan Yat Limani Karsisi
Muğla İli,"
Club Hotel Acacia
",Bodrum,Kemer Mevki Akyarlar Beldesi
Muğla İli,"
Loca Boutique Hotel
",Selimiye,Yukari Gemecik Mevkii
Muğla İli,"
SENTIDO Lykia Resort & Spa
",Ölüdeniz,"Kidrak Mevkii, 2-A"
Muğla İli,"
Woxxie Hotel
",Bodrum,Palamut Mekvii
Aydın İli,"
Panormos Hotel
",Didim,Ataturk Bulv. No 126
