yetkili,isim,tel,adres
 YAVUZ MADEN,MADEN Pastanesi Bayilik Veriyor,  0216 540 47 65      , HAT BOYU CAD.NO:25
 Tuğçe Naroğlu,DEMLİK Bayilik Veriyor - Bayilik Franchise,  0212 215 25 95      , Esentepe mah.Büyükdere cad.Astoria iş merkezi A kule K:14/1406 Esentepe-Şişli İstanbul
 Kahve Deryası,Kahve Deryası Franchise Veriyor - Bayilik Franchise,  05334403314      , Merkez : Süvari Cad. No:49/1 Bornova-İZMİR Tel : 0 (232) 388 10 13 - 388 04 25
 .,Dilberoğlu Baklavaları Bayilik Veriyor,  0212 474 96 46      , Eski Lonra Asfaltı NO:25 Haznedar İstanbul
 Hakan ERARSLAN,Cafe Point Bayilik Veriyor,  0224 222 44 11      , Ertuğrul mh. 142. sok No. 3-D/A Nilüfer Bursa
 MEVLÜT DAKIN,KAHVE DEPOSU Franchise Veriyor - Bayilik Franchise,  02124862758      , ORG.SAN.BÖL.İSTEKS SAN.SİT.C/3 BLK NO:8 İKİTELLİ BAŞAKŞEHİR İSTANBUL
 Selçuk SOLAK,Kafedo Bayilik,  0 344 225 03 03      , Trabzon Caddesi Onurhan Apt. Kat:6 No:18 K.Maras
 Gökhan Fidan,WAFFAMEL Bayilik,  0212 451 51 12      , Bahçelievler/İST.
 lhan AKSOY – Mehmet ÖZKARA,Hatır Kahvesi Bayilik Veriyor,  0 312 278 0 450 - 0 541 326 04 02      , Bahçekapı Mahallesi Yeşilçam Sanayi Sitesi 2506. Sokak D Blok No:78/A  ŞAŞMAZ/ANKARA
 ,Kahve Durağı Bayilik Veriyor,  444 3 975      , 
 Erdeniz ÇOLAK,Tarihi Sarıyer Börek Bayilik,"  O 262 3435423, 0 530 317 35 16, 0 554 774 41 41      ", 
 Gürkan Demircan,Bi'Çay Bayilik Veriyor,  0532 485 72 57      , antalya
 Çetin Gürer,MAMBOCINO COFFEE Bayilik - Franchise,  0212 549 03 34      , Deposite AVM - İkitelli/ İstanbul
 Tüm Sokak Ekibi,SOKAK KAHVECİSİ	 Franchise Veriyor - Bayilik Franchise,  0232 375 0 333      , 129/11 sok. No:30 Bornova İZMİR	
 Orhan KARAL,Karafırın Bayilik,  0 212 696 69 91      , İkitelli yolu İmsan San. Sit. A Blok No: 6 İkitelli / İstanbul
 Hayati Kocaman,BELEŞ Döner Bayilik,  444 1 257 -05322464126      , İkitelli organize sanayi mutsan san. sitesi m blok no 41
 Yaşar MUTLUER,Kapıdağ Mangal Evi Bayilik Veriyor,  05055907743      , Liman avm teras katı
 BUĞRA KOCAKURT,Packet Burger Bayilik Veriyor,  05324041926      , orhan mahallesi devran caddesi no:40 kocaeli izmit
 BURAK ALPER AKPINAR,Erk Gıda Bayilik Veriyor,  532 420 02 87      , Yavuz Selim Caddesi Gazi Magosa Sokak ATAŞEHİR
 Ece Sözen,Meal Box Franchise - Bayilik Veriyor,  054978715      , Barbaros Mah. Mimar Sinan Cad. No:125
 Muratcan Aksoy,Tatlı mı Tatlı Dondurmalı İrmik Helvası Bayilik,  0554 441 11 92      , 
 Bahadır Tanrıverdi,Badegah Dibek Kahvesi Bayilik,  Gsm: 05317810781 - Tel : 02242235859      , Osmangazi/Bursa
 Kadir Kaya,Emirler Et Süt Bayilik,  535 684 53 45      , Emirler köyü-Gölbaşı-Ankara
 ALİ AĞIR,Sossis Bayilik Veriyor,  5355586709      , Nilüfer/BURSA
 Atila Uğurtay,Güveççi Süleyman Bayilik,  0542 723 49 32      , BALIKLI MAH.SAATKULE SOK. NO.52  KÜTAHYA
 Ali Arslan,Aysu Kardeşler Unlu Mamüller Bayilik Veriyor Bayilik Veriyor - Bayilik Franchise,  232 274 00 02      , sevgi mah 80 sokak no 22 gaziemir izmir
 Ufuk Bircan,Bircan Çiftliği Süt Satış Bayiliği Veriyor,  05332242428      , istanbul catalca
 Hakan Kesiciler,Ege Zeytin Shop Bayilik,  05418018887      , Tahir Ün Cad. Boyalı İş Hanı Kat:3 Daire: 1-2 Akhisar/MANİSA/TÜRKİYE
 OGUZ BAGRIACIK,MEBA Gıda Bayilik Veriyor,  0 344 236 35 00      , Sanayi Sit. 8. Cad. No:80 Dulkadiroğlu
 Engin Boz,Olivefe Zeytinyağları Bayilik Veriyor,  0 256 281 11 00, Aydın Muğla Karayolu 7.km Aydın
 FEHMİ KEKÜLLÜOĞLU,Emek Helva Reçel Bayilik,  0332 3423300         0532 6550252      , YENİ ŞEKERÇİLER SİT.HACI YUSUF MESCİT MAH.NECİP FAZIL CAD.1 NOLU SOKAK NO.22 KONYA
 Mehmet Kaya,El Et Et ürünleri Bayilik,  0212 640 78 81 PBX.      , MEGA CENTER KURU GIDA HALİ A BLOK NO:1270-1271 BAYRAMPAŞA - İSTANBUL
 Güven Çeçe,ChocoElit Bayilik -Çikolata Şelalesi Bayiliği,  05388272250      , Istanbul / Bayrampaşa
 Mehmet Saraçoğlu,Özbeyoğlu Kuruyemiş Bayilik Veriyor - Bayilik Franchise,  +90 362 266 76 76      , Organize Sanayi Bölgesi Yaşar Doğu Cad. No:38
 Kırkkovan Satış depertmanı,Kırkkovan Bal Bayilik Veriyor,  .      , Elvançelebi Beldesi Arıcılık diyarı ulupınar mevki Mecitözü/ÇORUM
 Ali ŞENER,Q-Cup Pratik İçim Kahve Bayilik,  02328761011-02328761012      , Akalan Köyü Mevkii Yol Kenarı Sanayi No:110 KEMALPAŞA - İZMİR
 Biltek Gıda,"Billtos Cips Tombax,Billtos Kullix Mısır Çerezi Ürün Satış Bayiliği Veriyor - Bayilik Franchise",  0362 256 04 04      , Sagimad Tekkeköy 551 No:103
 ,ALBAYRAKLAR LTD.ŞTİ. Bayilik Veriyor - Bayilik Franchise,  02163153040      , ATAŞEHİR/İSTANBUL/TURKEY
 Ahmet Murat SARAL,Sambak Bakliyat Bayilik Veriyor,  (362)2389997      , Yeni Mah. Gülsan San. Sitesi 48.Sok. No.23 Canik/SAMSUN
 Tuğrul Dolgun,Çukurova Baharat Bayilik Veriyor,  03243244325      , Çukurova Mh. Mimarsinan Blv.230. Cd. No:9
 CEMAL AKTUNA,Yakamoz Sirke Bayilik Veriyor,  0236 314 37 57      , ORGANİZE SANAYİ BÖLGESİ TURGUTLU-MANİSA
 SERHAT KANDEMİR,Feyza Çerezleri Bayilik Veriyor,  0 266 818 3888 - 89      , YENİ MH. MİLLİ EGEMENLİK CD. NO:46
 ÖZLEM Hanım,Ayçıtır Kuruyemiş Bayilik Veriyor,  03126265112 - 05332513552      , POLATLI ORGANİZE SANAYİ
 .,Lebsan Kuruyemiş Bayilik,  +90 342 337 19 20, 1.Organize Sanayi Bölgesi 20 Nolu
 İbrahim TEZEL,MARMARA MANTAR Bayilik Veriyor - Bayilik Franchise,  0 530 143 45 48      , Ovayenice mh. Çatalca İSTANBUL
 MAHİR ULAŞ,ATAK.KARGO Bayilik Veriyor - Bayilik Franchise,  444 00 35      , BEYAZGÜL SOK. NO.12 K.ESAT ANKARA
 ENGİN TEKİN,GOOSE EXPRESS Bayilik Veriyor - Bayilik Franchise,  05305584256      , 10002 SOKAK NO 37 A.O.S.B ÇİĞLİ
 Cezmi EMİRLER,Telekurye Kurye Dağıtım A.Ş Franchise Veriyor - Bayilik Franchise,  0 212 295 66 66      , Kagıthane caddesi no :29 / 1 Kagıthane  İst
 Mahmut Yılmaz,Kuryeman Bayilik Veriyor,  0 (312) 419 60 60      ," Kolej semti, İncesu Cad. Kirazlı Sok. No : 3 Çankaya ANKARA"
 TUNCAY SALTAN,CPL KARGO Bayilik Veriyor,  0553 313 65 87  (0212 438 74 00   )      , Kemalpaşa Mah. Mehmet Akif Bulvarı no:314/A
 Sürat Kargo Dağ ve Loj. A.Ş,Sürat Kargo Franchise Veriyor - Bayilik Franchise,  0212 410 30 30      , Mahmutbey Mah. Soğuksu Cad. No: 31 Tek-Er Plaza Bağcılar/İSTANBUL
 Ramazan Meral,Everytime Car Rental Bayilik Veriyor,  08505321766 - 0506 928 9 968 - 0534 960 9 800      , Çağlayan mahallesi Barınaklar bulvarı no : 20
 Deniz ÖZTAŞCI,otobank Bayilik Veriyor,  email başvuruları kabul edilmektedir      , Alpagut Mah. 20. Sok 3 C-2
 Yücel Akbayrak,Hemenarac Rent A Car Bayilik Veriyor,  02126608444      , Zuhratbaba mah incirli cad bingül sok no2 dayre6
 Ali Murat Öztürk,DOLLAR RENT A CAR Franchise Veriyor - Bayilik Franchise,  0552-904-9939      ," Nish İstanbul C-Blok, D: 132"
 emre öksüz,Exen rent a car bayilik ve bayilik şartları,  +90 0850 209 8 350      , Bahçelievler mah istiklal cad.no:198/a ilkadım SAMSUN
 KEMAL KOÇ,Didi Filo Araç Kiralama Bayilik Veriyor,  Aşağıdaki bayilik talep formunu doldurarak iletişim kurmanızı rica ederiz.      , MERKEZ / DÜZCE
 soner ertugrul,STARTKEY Franchise Veriyor - Bayilik Franchise,  0216 405 2 405      , F.Kerim Gökay Cad.Velibey Sok. Uluhan Apt.No:2 /7 Kuyubaşı/İST 34722
 Kazim Algin,SHOWREALTY Franchise Veriyor - Bayilik Franchise,  0212-2256266      , Ispartakule Avrupa konutlari 1 3Blok d:2 Bahçeşehir-ıst
 Hakan ONURLUBAŞGİL- Filiz GÜVEN,FİGA Franchise Veriyor - Bayilik Franchise,  0 352 222 2012      , Sivas Bulvarı Ak Plaza İş Merkezi Kat:4 No:38 MELİKGAZi/KAYSERİ
 Levent Kale,ALTIN EMLAK Franchise Veriyor - Bayilik Franchise,  02126541760      , Şirinevler E-5 Karayolu Üzeri Ünal İş Merkezi No: 15 Kat: 6 Bahçelievler - İstanbull
 Hüseyin ALTAŞ,INTERNATIONAL REALTY PLUS Franchise Veriyor - Bayilik Franchise,  0216 305 11 91-92      , Sahil Yolu Cd.Mine Sk.Villa No:2 Dragos-Kartal
 Savaş Çalışkan,Bella Gloria Bayilik Veriyor,  02124587575      , Divanyolu cad. No:15/307 Sultanahmet İstanbul
 Özgür Beşikçi,Mochka Kuyumculuk Bayilik Veriyor,  Sabit: 0 (312) 466 16 62 Cep: 0530 298 36 03      , Kavaklıdere Mahallesi Bestekar sok. No:2/9 Ankara
 Fırat Avcıkaya,NİNE Pırlanta Franchise Veriyor - Bayilik Franchise,  02126031604      , Kuyumcukent Avm Bloğu 1.Kat No:501 Yenibosna/İST.
 Bülent Hoşcan,Ata Mücevherat Bayilik Şartları,  0212-571.03.01      , Ata Mücevherat Tasarım & İmalat Zeytinlik mh yakut sk yakut pasajı no:9/31 Bakırköy/İstanbul
 Alp Gülesen,Goldmystic Bayilik Veriyor - Bayilik Franchise,  02166885674      , Ağaoğlu My Prestige Barbaros mh. Ihlamur Sk. No:1 Kat:15 D:123 34746 Atasehir Istanbul
 Belirtilmedi..,Gülaylar Altın Bayilik Veriyor - Bayilik Franchise,  + 90 (212) 519 28 28      , Belirtilmedi..
 Turan Gökçe,Rulootomat Bayilik Veriyor,  05533491140      , 
 Onur Sönmez,Cellini Bayilik Veriyor - Bayilik Franchise,  05304979249      , Ataköy Plus AVM No: B/13 Bakırköy/İstanbul
 Metehan Ünver,Jetpriz Bayilik Veriyor,  05337720771      , Libadiye Cad. Genç apt. no:2 Üsküdar
 MUHAMMED DEMİR,Rulomatik Bayilik Veriyor,  08506501111      , Kanal cadde no:60
 Ömer İlhan,Çiğköfte Matik Franchise Veriyor - Bayilik Franchise,  0536 724 25 77 - 0216 499 52 58      , Esenkent Mah. Aşık Mahsuni Cad. No:13 Ümraniye - İstanbul
 Sayil DINÇSOY y.müh. / Genel Müdür,Elektral Elektromekanik San. ve Tic. A.S. Bayilik Veriyor - Bayilik Franchise,  +90-232-3767300      ," Izmir Atatürk Organize Sanayi Bölgesi, M.K. Atatürk Blv. 23 Çigli / Izmir"
 Şenol KARA,OTOMAT COZUMLERİ LTD STİ Bayilik Veriyor - Bayilik Franchise,  0216 660 04 74      , Yedpa Ticaret Merkezi D cad No:150 Ümraniye/İstanbul
 NİHAL SAY,Pedmatik Ped Otomatı Bayilik Veriyor,  0212 258 07 67      , BEŞİKTAŞ-İSTANBUL
 AHMET GÜMÜŞ,AG MEDİKAL Bayilik Veriyor - Bayilik Franchise,  02125448223-02125448824      , MALTEPE SAN.ÇARŞISI NO:263 BAYRAMPAŞA/İSTANBUL
 Belirtilmedi..,Simay Emaye İthalat ve ihracat San. Tic. Ltd. Şit. Bayilik Veriyor - Bayilik Franchise,  0 272 632 54 95      , Çay Sanayi Sitesi
 İSMAİL GÜNEYİN,COOKTİME Bayilik Veriyor - Bayilik Franchise,  4422151010      , CUMHURİYET CAD. AKMERKEZ NO:41 ERZURUM
 Emrah Kutlu,Emir Dizayn Bayilik Veriyor,  05469090541      , karaçay mh. 92 sk. no 49 nazilli aydın
 Ömer GÜLER,CUZİNE Mutfak Bayilik Veriyor,  02126750880      , masko mobilya sitesi 2/b blok no:22/24 İkitelli/İSTANBUL
 Engin Güzel,Naturel Dış Tic.day.Tük.mal.İnş.San.Tic.Ltd.Şti Bayilik Veriyor - Bayilik Franchise,  0212 554 11 23-0212 554 91 64      , Feritselimpaşa cad.Gonca sok.No:5/1 Bahçelievler-İstanbul
 Onur KAN,Dekorevi Bayilik Veriyor,  02126984848/49      , Merkez Mah. Posta sokak Özçelik iş merkezi Kat:4No:16 Halkalı/İST.
 YASİN GÖNÜLKIRMAZ,COLLINA'ND MUTFAK Bayilik Veriyor - Bayilik Franchise,  212 675 12 19      , Masko 20A Blok No:23 İkitelli / İstanbul
 Pınar Erdebil,Demsaş Mutfak & Banyo Bayilik Veriyor,  +90 216 364 64 16      ," Şerifali mh. Edep sk. 52, 34775 Ümraniye/İSTANBUL"
 Serap Benek,Mobilsan İnşaat Ltd. Şti. - SVEA MUTFAK Bayilik Veriyor - Bayilik Franchise,  212 2823307      ," Konaklar Mah. Akasyalı Sokak 53/5 Blok D.5  4.Levent, İstanbul"
 VOLKAN UĞURLU,TOHUMLU KALEM Ürün Satış Bayiliği Veriyor - Bayilik Franchise,  0212 589 22 55      , Kızılelma Cad.no:70/3 Ufuk ap Alipaşa - Fındıkzade / İSTANBUL
 İlkin ACATAY,İlk Promosyon Ltd. Şti. Bayilik Veriyor - Bayilik Franchise,  0(212)4380516      , Tekstilkent A-1 No:27 Esenler İSTANBUL
 Turhan Özüduru,YA-PA YAYIN A.Ş. Bayilik Veriyor - Bayilik Franchise,  Belirtilmedi..      , Ankara Cad. No: 89 Kat: 3-4-5 Cağaloğlu/İstanbul
 ilkin ACATAY,İlk Promosyon Malzemeleri Ltd. Şti. Bayilik Veriyor - Bayilik Franchise,  0(212)4380516      , Tekstilkent A-1 No:27 Esenler İstanbul
 Naci mercan,Mixpak sert yüzeylerde genel temizleyici bayilik,  0536 622 3723      , yeni mahalle oral sokak no:2417 Bozüyük  Bilecik
 ramazan gucukturali,Turalı Group Bayilik Veriyor,  0312 385 15 75      , ai evran caddes p4 no 84 ostim
 ÜĞURHAN TEZER,SİHİRLİ PASPAS / UTT LTD.ŞTİ. Bayilik Veriyor - Bayilik Franchise,  0.312.4461635 0.312.4461655      , UĞUR MUMCU CADDESİ 97/9 G.O.P. ANKARA
 Nihat İtmeç,Kaplin Koll. Sti. Bayilik Veriyor - Bayilik Franchise,  232-376 88 15      , 10 022 Sokak No:11 A.O.S.B. Çiğli/İZMİR
 BÜLENT MUTLU,MUTLU MADENİ EŞYA Bayilik Veriyor,  0 382 266 24 34      , AKSARAY ORGANİZE SANAYİ BÖLGESİ. 1. SOK. 2. CD. NO : 29/D  68100 / AKSARAY
 HAYRI BALI,BALI MUMESSILLIK ITHALAT-IHRACAT HAYRI BALI Bayilik Veriyor - Bayilik Franchise,  0212-3471854 / 55      , GAYRETTEPE MAH.BAHAR SOKAK KARANFIL AP.
 cengiz tufan,Eksen Eğitim Araçları Bayilik Veriyor - Bayilik Franchise,  03642251424      , Albayrak cad no 19- c çorum
 Erdal Erfidan,Halley POF Oyuncak Bayilik Veriyor,  +90 216 641 85 77      , Ekşioğlu Mah. Saray Cad. No:36  Çekmeköy / İstanbul
 ,Roy'sToy's Franchise Veriyor - Bayilik Franchise,  05321541996      , bağlarbaşı mh. bağdar cd. sakızağacı sk. no:51/a maltepe istanbul
 .,Toykiddy Franchise Veriyor - Bayilik Franchise,  0 532 766 70 52      , İzmir
 Sinan Binali,Technomodel Bayilik Veriyor - Bayilik Franchise,  216 363 52 33      , Tütüncü Mehmet Efendi Cad. Güzel Sit. A Blok No:20/B Göztepe/İstanbul
 Melih BAŞAK,ALİS Bayilik Veriyor - Bayilik Franchise,  0533 433 17 44, osmangazi/BURSA
 Esat ŞENOL,Bomm Boyasız Onarım Merkezleri,  05323837663      , Veko Giz plaza Maslak İSTANBUL
 .,UNIVERSAL LABORATORIES Bayilik Veriyor - Bayilik Franchise,  0212 216 28 78      , Genel Satış Mürülüğü :
 Ferdi Demirkol,Ptc Garage Boyasız Göçük Düzeltme Bayilik,  0538 202 02 76      , pendik istanbul
 Muhammed ŞERİF,METİ GEZİCİ ARAÇ TEMİZLİĞİ Bayilik Veriyor - Bayilik Franchise,  0 224 443 42 10 - 0536 655 72 69 - 0505 818 16 90      , Beşevler Mahallesi Bilginler Caddesi
 İstanbul Araç Temizliği,BLUEGREENWAX Bayilik Veriyor - Bayilik Franchise,  05332427346      , İstanbul/Pendik
 Belirtilmedi..,POLAR TEKNOLOJİ A.Ş. Bayilik Veriyor - Bayilik Franchise,  0 312 473 40 20      , ANKARA
 CEVDET KURT,SAYTEK LTD.ŞTİ Bayilik Veriyor - Bayilik Franchise,  0535 843 48 05    --0312 4311546      , YÜKSEL CAD. 28/1 KIZILAY-ANKARA
 Eray Üner,Otorapor Oto Ekspertiz,  02165749573      , Bostancı oto sanayi sit. ı blok no:9 içerenköy/ataşehir
 Müslüm ileri/Filiz Bayrak,Stil Maxolen Bayilik Veriyor - Bayilik Franchise,  0276 2314646      , Fevzi Çakmak Mah Bir Eylül Sanayi Sit 22 Sok.No 6 Uşak/Merkez
 Pazarlama Md -İsmail Akyüz,Nano-X Susuz Araç Temizleme Sistemleri Bayilik Veriyor,  0 242 349 18 35 gsm:0 536 739 63 75 Faks: 0 242 244 70 16      , Altındag mah.146 sok.Veysel Usta Çarşısı no:27 ANTALYA
 ZEHRA AKGÜN-VELİ AKGÜN,TAKI DÜNYASI Bayilik Veriyor - Bayilik Franchise,  0266244 42 46-0536 413 74 73      , ESKİKUYUMCULAR MAH.ÇANKAYA SOK.NO:7 BALIKESİR
